ID,FullDate,Date,Start(ET),Hour,Favorite,Underdog ATS,Underdog,Total,Covered O/U,O/U,Season,Week,Attendance,Home/Neutral,Home Line,Away Line,Visitor/Neutral,Home Pts,Visitor Pts,Home Covered,Capacity,New Stadium Season,Years in Stadium,Temperature.x,Dome,City Played,Weather Station,Key.x,DayAVGTemp,DayHighTemp,DayAVGHumid,DayHighHumid,DayAVGWind,DayHighWind,DayAVGCloud,DayAVGVisibility,DayAVGSunMin,DayPrecipWaterEQ,DayPrecipSnow,DayAVGWeatherLetterCode,DayAVGWeatherType,Elevation,Hour Temperature,Hour Feels Like,Hour Dew Point,Hour Relative Humidity,Hour Wet Bulb Temp,Hour Wind Direction,Hour Wind Speed,Hour Cloud Cover percent,Hour Cloud Ceiling,Cloud Cover Type,Hour Visibility,Hour Solar Irradiance Beam,Hour Solar Irradiance Diffuse,Hour Solar Irradiance Global,Hour Solar Irradiance Possible Beam,Hour Solar Irradiance Possible Global,Hour Solar Irradiance ET,Hour Probability of Precipitation,Hour Water EQ,Hour Snowfall,Hour Pressure Inches,Hour Pressure Millibars,Hour Weather Code Digit Numeric,Hour Weather Code Alpha Numeric,Hour Weather Text
GBP2016,11-Dec-16,11-Dec-16,4:25,16,SEA,-3,GB,48,O,47,2016,Week 14,78057,GB,3,-3,SEA,38,10,Y,81435,0,59,27,0,Green Bay,KGRB,KGRB4271516,24,30,90,96,7,13,100,4.3,0,0.28,5.3,SNOW,Light Snow,696,26,26,23,88,25,0,0,100,90,OVC,10,0,0,0,0,0,0,0,0,0,29.83,1010.3,40,MC,Overcast
GBP2015,11-Oct-15,11-Oct-15,1:00,13,GB,-9,LAR,34,U,46,2015,Week 5,78432,GB,-9,9,LAR,24,10,Y,81435,0,58,73,0,Green Bay,KGRB,KGRB4228813,65,80,66,80,11,16,1,10,671,0,0,CLR,Fair,696,75,78,57,54,64,210,12,0,201,CLR,10,499,50,549,499,549,713,0,0,0,29.57,1001.3,46,CLR,Fair
GBP2015,13-Dec-15,13-Dec-15,4:25,16,GB,-6.5,DAL,35,U,42.5,2015,Week 14,78369,GB,-6.5,6.5,DAL,28,7,Y,81435,0,58,52,0,Green Bay,KGRB,KGRB4235116,48,55,98,100,9,17,100,3.7,0,1.6,0,RAIN,Light Rain,696,55,52,54,96,54,170,12,100,47,OVC,6,0,0,0,0,0,0,99,0.01,0,29.63,1003.3,18,RAIN,Light Rain
GBP2019,14-Oct-19,14-Oct-19,1:00,13,GB,-7.5,DET,45,U,48.5,2019,Week 6,76947,GB,-7.5,7.5,DET,23,22,N,81441,0,62,36,0,Green Bay,KGRB,KGRB4375213,41,50,73,89,7,14,13,10,470,0,0,CLR,Fair,682,49,44,32,52,42,230,13,35,28,CLR,10,397,48,445,481,529,687,0,0,0,30,1016.5,46,CLR,Fair
GBP2014,14-Sep-14,14-Sep-14,4:25,16,GB,-7.5,NYJ,55,O,46.5,2014,Week 2,78041,GB,-7.5,7.5,NYJ,31,24,N,80750,0,57,63,0,Green Bay,KGRB,KGRB4189616,56,65,72,93,9,18,62,9.9,498,0,0,MC,Overcast,696,65,64,46,51,55,210,13,4,201,SCT,10,251,26,277,256,282,366,0,0,0,30.09,1019,46,CLR,Fair
GBP2019,15-Dec-19,15-Dec-19,1:00,13,GB,-3,CHI,34,O,49,2019,Week 15,78266,GB,-3,3,CHI,21,13,Y,81441,0,62,54,0,Green Bay,KGRB,KGRB4381413,11,17,72,79,6,13,20,10,486,0,0,CLR,Fair,682,12,1,3,67,10,210,8,0,197,CLR,10,247,25,272,247,272,353,0,0,0,30.1,1020.8,46,CLR,Fair
GBP2015,15-Nov-15,15-Nov-15,1:00,13,GB,-10.5,DET,34,U,50,2015,Week 10,78526,GB,-10.5,10.5,DET,16,18,N,81435,0,58,57,0,Green Bay,KGRB,KGRB4232313,47,59,71,93,6,14,9,10,574,0,0,CLR,Fair,696,57,55,41,55,49,210,9,0,210,CLR,10,311,31,342,311,342,444,0,0,0,30.1,1019.2,46,CLR,Fair
GBP2013,15-Sep-13,15-Sep-13,1:00,13,GB,-7,WAS,58,O,49,2013,Week 2,78020,GB,-7,7,WAS,38,20,Y,80750,0,56,62,0,Green Bay,KGRB,KGRB4153213,56,66,86,97,6,17,86,8.8,15,0.38,0,MC,Overcast,696,62,62,55,78,58,370,3,100,14,OVC,10,333,67,400,666,733,952,0,0,0,30.06,1017.8,44,PC,Partly Cloudy
GBP2019,15-Sep-19,15-Sep-19,1:00,13,GB,-3,MIN,37,U,43,2019,Week 2,78416,GB,-3,3,CIN,21,16,Y,81441,0,62,42,0,Green Bay,KGRB,KGRB4372313,66,76,87,96,4,10,86,8.1,0,0,0,MC,Overcast,682,75,78,65,71,69,170,7,100,22,OVC,10,333,67,400,666,733,952,0,0,0,30,1015.6,40,MC,Overcast
GBP2014,16-Nov-14,16-Nov-14,4:25,16,GB,-5.5,PHI,73,O,55.5,2014,Week 11,78270,GB,-5.5,5.5,PHI,53,20,Y,80750,0,57,27,0,Green Bay,KGRB,KGRB4195916,23,28,80,89,9,14,76,7.2,152,0,0.2,MC,Overcast,696,27,17,21,78,25,220,12,100,22,OVC,5,2,0,2,4,4,6,0,0,0,29.91,1013,35,HAZY,Haze
GBP2016,16-Oct-16,16-Oct-16,4:25,16,GB,-5,DAL,46,U,47,2016,Week 6,78481,GB,-5,5,DAL,16,30,Y,81435,0,59,67,0,Green Bay,KGRB,KGRB4265916,62,70,81,100,7,10,52,8.9,580,0,0,CLR,Fair,696,64,64,56,75,59,50,8,8,301,SCT,10,74,8,82,77,85,109,0,0,0,29.89,1012.2,46,CLR,Fair
GBP2015,18-Oct-15,18-Oct-15,4:25,16,GB,-10.5,LAC,47,U,50.5,2015,Week 6,78434,GB,-10.5,10.5,LAC,27,20,N,81435,0,58,49,0,Green Bay,KGRB,KGRB4229516,40,54,63,88,6,10,0,10,650,0,0,CLR,Fair,696,52,49,23,32,40,210,8,0,201,CLR,10,71,7,78,71,78,101,0,0,0,30.35,1027.9,46,CLR,Fair
GBP2017,19-Nov-17,19-Nov-17,1:00,13,BAL,-2.5,GB,23,U,38.5,2017,Week 11,77945,GB,2.5,-2.5,BAL,0,23,Y,81441,0,60,49,0,Green Bay,KGRB,KGRB4305813,29,32,64,79,13,21,77,10,276,0,0,MC,Overcast,696,31,20,17,56,26,280,16,0,201,CLR,10,296,30,326,296,326,423,0,0,0,29.95,1015.2,46,CLR,Fair
GBP2014,19-Oct-14,19-Oct-14,1:00,13,GB,-6.5,CAR,55,O,49.5,2014,Week 7,78106,GB,-6.5,6.5,CAR,38,17,Y,80750,0,57,53,0,Green Bay,KGRB,KGRB4193113,45,55,81,96,7,18,48,9.6,164,0,0,CLR,Fair,696,53,49,42,66,48,200,13,84,110,FEW,10,441,45,486,449,494,642,0,0,0,29.97,1014.8,45,CLR,Mostly Clear
GBP2013,20-Oct-13,20-Oct-13,4:25,16,GB,-8.5,CLE,44,U,45.5,2013,Week 7,77804,GB,-8.5,8.5,CLE,31,13,Y,80750,0,56,46,0,Green Bay,KGRB,KGRB4156716,40,48,90,100,6,14,71,8,45,0.04,0,MC,Overcast,696,44,40,38,79,41,130,8,100,40,OVC,10,32,6,38,63,69,90,0,0,0,29.73,1006.9,42,MC,Mostly Cloudy
GBP2016,20-Oct-16,20-Oct-16,8:25,20,GB,-7.5,CHI,36,U,46.5,2016,Week 7,78217,GB,-7.5,7.5,CHI,26,10,Y,81435,0,59,47,0,Green Bay,KGRB,KGRB4266320,46,52,70,93,10,16,64,10,263,0,0,MC,Overcast,696,46,40,35,66,41,310,12,100,50,OVC,10,0,0,0,0,0,0,0,0,0,30.24,1024,40,MC,Overcast
