,Key2,Var.2,Date,Date2,Date3,roadteam,roadscore,hometeam,homescore,MLResult,ML,total,oddsadj,goalie,opp goalie,ATT,Fights,Weather Station,Weather Station Code.x,Data Type.x,Data Date,Time Zone.x,Daily Latitude.x,Daily Longitude.x,Daily Elevation.x,Daily High Temperature,Daily Low Temperature,Daily Average Temperature,Daily Warmest Heat Index,Daily Coldest Wind Chill Temperature,Daily High Dew Point,Daily Low Dew Point,Daily AVG Dew Point,Daily High Relative Humidity,Daily Low Relative Humidity,Daily AVG Humidity,Daily High Wet Bulb Temp,Daily Low Wet Bulb Temp,Daily AVG Wet Bulb Temp,Daily High Wind Speed,Daily AVG Wind Speed,Daily Wind Direction.x,Daily High Wind Gust,Daily Cloud Cover percent.x,Daily AVG Visability Miles,Daily Total Solar Irradiance Beam,Daily Total Solar Irradiance Diffuse,Daily Total Solar Irradiance Global,Daily Total Minutes of Sunshine,Daily Total Minutes of Sunshine of a cloud free day,Daily Observed Daily Water Equivalent,Daily Snowfall.x,Daily High Pressure Inches,Daily Low Pressure Inches,Daily AVG Pressure Inches,Daily Highest Pressure Millibars,Daily Low Pressure Millibars,Daily AVG Daily Pressure Millibars,Daily Two Digit Predominate Weather,Daily Weather Code,Daily Weather Text.x,Weather Station Code.y,Data Type.y,Time Zone.y,Hour Latitude.y,Hour Longitude.y,Hour Elevation.y,Hour Temperature,Hour Feels Like,Hour Dew Point,Hour Relative Humidity,Hour Wet Bulb Temp,Hour Wind Direction.y,Hour Wind Speed,Hour Cloud Cover percent.y,Hour Cloud Ceiling,Hour Cloud Cover Type,Hour Visibility,Hour Solar Irradiance Beam,Hour Solar Irradiance Diffuse,Hour Solar Irradiance Global,Hour Solar Irradiance Possible Beam,Hour Solar Irradiance Possible Global,Hour Solar Irradiance ET,Hour Probability of Precipitation,Hour Water EQ,Hour Snowfall.y,Hour Pressure Inches,Hour Pressure Millibars,Hour Weather Code Digit Numeric,Hour Weather Code Alpha Numeric,Hour Weather Text.y,Data Date_1
627,CYOW 17/Dec/2018 07,627,12/17/18,17-Dec-18,17-Dec-18,Predators,3, Senators,4,L ,-174,O 6.5,-106,J. Saros,C. Anderson,14492,1,CYOW,CYOW,O,17-Dec-18,EST,45.317,-75.667,374,33,18,28,32,1,30,9,24,100,64,85,31,16,27,28,13,304,32,97,9.8,635,126,761,7,524,0.1,1.3,29.95,29.66,29.76,1014.9,1004.9,1008.4,9,SNOW,Light Snow,CYOW,O,EST,45.317,-75.667,374,32,26,28,87,31,310,7,100,20,OVC,15,0,0,0,0,0,0,0,0,0,29.69,1006.1,40,MC,Overcast,17-Dec-18
628,CYOW 17/Feb/2018 07,628,2/17/18,17-Feb-18,17-Feb-18, Rangers,3, Senators,6,W,-116,5.5,-123,Craig Anderson,Henrik Lundqvist,17259,0,CYOW,CYOW,O,17-Feb-18,EST,45.322,-75.669,374,28,6,20,28,-6,16,2,10,81,53,66,24,6,17,14,7,194,14,56,15,1791,270,2061,208,630,0.01,0,30.3,29.93,30.15,1026.9,1014.3,1021.8,47,CLR,Clear,CYOW,O,EST,45.322,-75.669,374,6,-6,2,81,6,210,8,0,398,SKC,15,0,0,0,0,0,0,0,0,0,30.29,1026.7,47,CLR,Clear,17-Feb-18
629,CYOW 17/Jan/2015 07,629,1/17/15,17-Jan-15,17-Jan-15, Hurricanes,3, Senators,2,,NA,,NA,,,17434,0,CYOW,CYOW,O,17-Jan-15,EST,45.322,-75.669,374,5,-16,-4,5,-26,-2,-20,-12,83,54,67,4,-15,-5,15,8,82,21,70,14.1,949,158,1105,61,551,0,0,30.39,29.83,30.19,1030.4,1011.3,1023.6,40,MC,Overcast,CYOW,O,EST,45.322,-75.669,374,-13,-26,-17,83,-13,240,5,40,150,FEW,15,0,0,0,0,0,0,0,0,0,30.38,1029.9,45,CLR,Mostly Clear,17-Jan-15
630,CYOW 17/Nov/2013 07,630,11/17/13,17-Nov-13,17-Nov-13, Blue Jackets,4, Senators,1,,NA,,NA,,,15535,#N/A,CYOW,CYOW,O,17-Nov-13,EST,45.322,-75.669,374,55,40,48,55,35,53,32,42,97,61,82,54,37,45,17,10,119,23,97,13.5,889,176,1067,14,565,0.09,0,30.1,29.38,29.84,1019.4,995,1010.7,40,MC,Overcast,CYOW,O,EST,45.322,-75.669,374,41,35,33,75,38,80,10,90,150,BKN,15,0,0,0,0,0,0,0,0,0,29.99,1016,42,MC,Mostly Cloudy,17-Nov-13
631,CYOW 17/Nov/2016 07,631,11/17/16,17-Nov-16,17-Nov-16, Predators,5, Senators,1,L,129,5,-136,Mike Condon,Pekka Rinne,15480,0,CYOW,CYOW,O,17-Nov-16,EST,45.322,-75.669,374,50,33,43,49,32,42,33,40,99,73,89,46,37,42,9,5,348,9,57,14.4,940,173,1113,84,565,0,0,30.12,29.9,30.06,1020.5,1013.1,1018.3,42,MC,Mostly Cloudy,CYOW,O,EST,45.322,-75.669,374,41,38,40,94,41,330,5,100,43,OVC,15,0,0,0,0,0,0,0,0,0,30.04,1017.8,40,MC,Overcast,17-Nov-16
632,CYOW 17/Nov/2018 07,632,11/17/18,17-Nov-18,17-Nov-18,Penguins,4, Senators,6,L ,-152,O 6,-112,C. DeSmith,C. Anderson,17692,0,CYOW,CYOW,O,17-Nov-18,EST,45.317,-75.667,374,34,14,28,34,8,32,9,23,100,68,85,33,15,27,17,10,283,24,64,11.4,919,176,1095,76,565,0.07,0.7,30.32,29.79,30.06,1027.5,1009.4,1018.5,9,SNOW,Light Snow,CYOW,O,EST,45.317,-75.667,374,30,24,30,100,30,240,6,100,70,OVC,5,0,0,0,0,0,0,0,0,0,29.94,1014.5,9,SNOW,Light Snow,17-Nov-18
633,CYOW 17/Oct/2013 07,633,10/17/13,17-Oct-13,17-Oct-13, Devils,2, Senators,5,,NA,,NA,,,18867,0,CYOW,CYOW,O,17-Oct-13,EST,45.322,-75.669,374,64,49,54,63,45,51,44,48,96,55,80,57,48,51,14,7,225,18,68,14.1,2039,302,2341,217,651,0.24,0,29.81,29.67,29.76,1009.6,1004.7,1007.8,42,MC,Mostly Cloudy,CYOW,O,EST,45.322,-75.669,374,50,45,48,92,49,220,12,30,75,SCT,15,19,2,21,22,24,32,0,0,0,29.79,1009,44,PC,Partly Cloudy,17-Oct-13
634,CYOW 17/Oct/2015 07,634,10/17/15,17-Oct-15,17-Oct-15, Predators,4, Senators,3,L,102,5,-140,Craig Anderson,Carter Hutton,16895,2,CYOW,CYOW,O,17-Oct-15,EST,45.322,-75.669,374,43,23,36,43,22,37,19,27,93,45,72,38,27,33,22,13,310,24,59,14.1,1839,302,2141,222,651,0.04,0,30.23,29.93,30.1,1024,1013.8,1019.9,42,MC,Mostly Cloudy,CYOW,O,EST,45.322,-75.669,374,36,26,32,87,34,300,15,95,95,BKN,15,12,2,14,22,24,32,0,0,0,30.05,1017.8,42,MC,Mostly Cloudy,17-Oct-15
635,CYOW 17/Oct/2017 07,635,10/17/17,17-Oct-17,17-Oct-17, Canucks,3, Senators,0,L,-185,5.5,-125,Craig Anderson,Anders Nilsson,13430,1,CYOW,CYOW,O,17-Oct-17,EST,45.322,-75.669,374,61,30,47,60,24,47,28,39,92,56,75,52,29,43,18,11,202,28,57,14.9,2073,302,2375,150,651,0,0,30.23,29.98,30.1,1024.2,1015.5,1019.8,42,MC,Mostly Cloudy,CYOW,O,EST,45.322,-75.669,374,36,32,32,85,35,180,6,70,61,BKN,15,14,2,16,22,24,32,0,0,0,30.21,1023.5,42,MC,Mostly Cloudy,17-Oct-17
636,CYOW 18/Dec/2015 07,636,12/18/15,18-Dec-15,18-Dec-15, Sharks,2, Senators,4,W,-127,5.5,116,Craig Anderson,Alex Stalock,17990,0,CYOW,CYOW,O,18-Dec-15,EST,45.322,-75.669,374,38,31,35,37,24,32,21,27,93,60,74,34,29,32,13,8,241,13,89,15,682,127,810,61,524,0,0,29.78,29.71,29.73,1008.9,1006.7,1007.4,40,MC,Overcast,CYOW,O,EST,45.322,-75.669,374,34,29,30,87,32,250,5,100,54,OVC,15,0,0,0,0,0,0,0,0,0,29.75,1008.1,40,MC,Overcast,18-Dec-15
637,CYOW 18/Feb/2015 07,637,2/18/15,18-Feb-15,18-Feb-15, Canadiens,2, Senators,4,,NA,,NA,,,18949,1,CYOW,CYOW,O,18-Feb-15,EST,45.322,-75.669,374,19,-9,6,18,-22,9,-15,-1,85,53,69,15,-8,4,10,8,66,10,76,10.9,1793,275,2067,150,634,0.01,0.2,29.87,29.71,29.79,1012.7,1006.9,1009.6,9,SNOW,Light Snow,CYOW,O,EST,45.322,-75.669,374,-4,-19,-9,77,-5,50,8,100,24,SCT,3,0,0,0,0,0,0,0,0,0,29.84,1011.5,9,SNOW,Light Snow,18-Feb-15
638,CYOW 18/Feb/2016 07,638,2/18/16,18-Feb-16,18-Feb-16, Hurricanes,2, Senators,4,W,-113,5.5,136,Craig Anderson,Eddie Lack,16994,0,CYOW,CYOW,O,18-Feb-16,EST,45.322,-75.669,374,17,-5,6,16,-19,-2,-8,-4,83,41,63,12,-4,5,13,6,250,13,48,15,2719,275,2994,540,634,0,0,30.59,30.31,30.52,1037.2,1027.5,1034.7,40,MC,Overcast,CYOW,O,EST,45.322,-75.669,374,-3,-3,-7,83,-4,260,3,100,111,SKC,15,0,0,0,0,0,0,0,0,0,30.5,1034.2,40,MC,Overcast,18-Feb-16
639,CYOW 18/Jan/2014 07,639,1/18/14,18-Jan-14,18-Jan-14, Rangers,4, Senators,1,,NA,,NA,,,19978,#N/A,CYOW,CYOW,O,18-Jan-14,EST,45.322,-75.669,374,28,13,25,28,13,25,10,22,93,80,90,27,13,24,8,4,238,8,83,8.8,839,159,998,36,553,0.05,0.7,29.81,29.71,29.76,1010.1,1006.5,1008.5,40,MC,Overcast,CYOW,O,EST,45.322,-75.669,374,14,14,10,85,13,370,2,19,240,FEW,3,0,0,0,0,0,0,0,0,0,29.78,1009.1,45,CLR,Mostly Clear,18-Jan-14
640,CYOW 18/Jan/2018 07,640,1/18/18,18-Jan-18,18-Jan-18, Blues,4, Senators,1,L,127,5.5,-106,Craig Anderson,Carter Hutton,14002,1,CYOW,CYOW,O,18-Jan-18,EST,45.322,-75.669,374,24,19,22,24,6,18,14,16,80,74,76,22,17,20,17,10,226,23,99,12.8,832,159,990,18,553,0,0,29.98,29.9,29.92,1016.1,1013.3,1014,40,MC,Overcast,CYOW,O,EST,45.322,-75.669,374,21,10,14,74,19,250,10,100,38,OVC,15,0,0,0,0,0,0,0,0,0,29.92,1014,40,MC,Overcast,18-Jan-18
641,CYOW 18/Mar/2014 07,641,3/18/14,18-Mar-14,18-Mar-14, Rangers,8, Senators,4,,NA,,NA,,,17326,#N/A,CYOW,CYOW,O,18-Mar-14,EST,45.322,-75.669,374,28,6,18,27,-7,10,-2,4,72,39,54,22,5,14,15,10,68,22,46,15,3748,432,4180,335,724,0,0,30.29,30.19,30.26,1026.7,1023.3,1025.6,42,MC,Mostly Cloudy,CYOW,O,EST,45.322,-75.669,374,9,-4,0,66,7,50,8,75,150,BKN,15,34,5,39,46,51,66,0,0,0,30.27,1026,42,MC,Mostly Cloudy,18-Mar-14
642,CYOW 18/Mar/2017 07,642,3/18/17,18-Mar-17,18-Mar-17, Canadiens,4, Senators,3,L,105,5,107,Craig Anderson,Carey Price,19531,0,CYOW,CYOW,O,18-Mar-17,EST,45.322,-75.669,374,32,4,22,32,-5,14,-4,7,64,40,52,26,5,18,18,11,62,24,33,14.7,4224,432,4656,627,724,0,0,30.25,30.2,30.23,1025.3,1023.6,1024.5,45,CLR,Mostly Clear,CYOW,O,EST,45.322,-75.669,374,12,-3,2,64,10,70,14,100,250,FEW,15,45,5,50,46,51,66,0,0,0,30.24,1024.8,45,CLR,Mostly Clear,18-Mar-17
643,CYOW 18/Nov/2017 07,643,11/18/17,18-Nov-17,18-Nov-17, Coyotes,3, Senators,2,L,-179,5.5,-108,Mike Condon,Antti Raanta,16471,0,CYOW,CYOW,O,18-Nov-17,EST,45.322,-75.669,374,30,18,28,30,12,29,14,21,95,63,76,29,19,25,16,11,67,22,98,12.9,882,173,1056,0,564,0.15,0.1,29.95,29.2,29.6,1015.2,989.5,1003.2,3,SNOW,Freezing Rain,CYOW,O,EST,45.322,-75.669,374,25,12,17,73,22,70,16,100,240,BKN,15,0,0,0,0,0,0,0,0,0,29.75,1008.4,42,MC,Mostly Cloudy,18-Nov-17
644,CYOW 18/Oct/2014 07,644,10/18/14,18-Oct-14,18-Oct-14, Blue Jackets,2, Senators,3,,NA,,NA,,,18994,0,CYOW,CYOW,O,18-Oct-14,EST,45.322,-75.669,374,57,39,50,57,33,54,32,45,94,70,84,55,37,48,23,13,305,31,92,11.5,1584,297,1882,43,648,0.01,0,29.83,29.44,29.58,1010.3,997.1,1002,40,MC,Overcast,CYOW,O,EST,45.322,-75.669,374,54,53,52,94,53,180,5,65,250,SCT,10,16,2,18,21,23,29,0,0,0,29.45,997.3,44,PC,Partly Cloudy,18-Oct-14
645,CYOW 18/Oct/2016 07,645,10/18/16,18-Oct-16,18-Oct-16, Coyotes,4, Senators,7,W,-117,5.5,-103,Craig Anderson,Louis Domingue,11061,0,CYOW,CYOW,O,18-Oct-16,EST,45.322,-75.669,374,76,46,61,78,41,65,44,55,98,64,82,67,46,57,26,13,200,39,79,14.8,1696,294,1989,99,648,0.14,0,29.79,29.48,29.63,1009,998.6,1003.5,40,MC,Overcast,CYOW,O,EST,45.322,-75.669,374,47,44,47,98,47,80,7,100,60,OVC,15,9,2,11,18,20,26,0,0,0,29.67,1005.2,40,MC,Overcast,18-Oct-16
646,CYOW 19/Dec/2013 07,646,12/19/13,19-Dec-13,19-Dec-13, Panthers,4, Senators,2,,NA,,NA,,,15927,0,CYOW,CYOW,O,19-Dec-13,EST,45.322,-75.669,374,33,17,28,33,12,26,14,23,93,71,84,30,15,26,9,6,213,9,100,8.5,630,125,754,0,524,0.03,0.6,30.06,29.86,29.93,1018.4,1011.6,1014.2,40,MC,Overcast,CYOW,O,EST,45.322,-75.669,374,24,17,22,93,24,150,6,100,9,OVC,10,0,0,0,0,0,0,0,0,0,29.86,1012,40,MC,Overcast,19-Dec-13
647,CYOW 19/Dec/2014 07,647,12/19/14,19-Dec-14,19-Dec-14, Ducks,2, Senators,6,,NA,,NA,,,19443,0,CYOW,CYOW,O,19-Dec-14,EST,45.322,-75.669,374,22,9,17,23,-1,18,7,12,92,68,80,22,10,16,14,9,304,14,40,14.7,1195,125,1320,440,524,0,0,30.25,30.01,30.14,1025.3,1017,1021.4,44,PC,Partly Cloudy,CYOW,O,EST,45.322,-75.669,374,18,4,12,79,16,320,14,100,16,OVC,15,0,0,0,0,0,0,0,0,0,30.08,1019.2,9,SNOW,Light Snow,19-Dec-14
648,CYOW 19/Dec/2017 07,648,12/19/17,19-Dec-17,19-Dec-17, Wild,6, Senators,4,L,-123,5.5,108,Craig Anderson,Alex Stalock,13804,0,CYOW,CYOW,O,19-Dec-17,EST,45.322,-75.669,374,39,14,28,39,4,35,10,24,94,79,86,37,13,26,15,9,221,22,77,8.3,630,125,754,13,524,0.14,3.5,29.8,29.46,29.59,1010,998.5,1002.8,9,SNOW,Light Snow,CYOW,O,EST,45.322,-75.669,374,16,16,13,89,15,70,2,100,5,VV,2,0,0,0,0,0,0,99,0.02,0.6,29.62,1004,9,SNOW,Light Snow,19-Dec-17
649,CYOW 19/Feb/2017 07,649,2/19/17,19-Feb-17,19-Feb-17, Jets,3, Senators,2,L,-127,5.5,102,Mike Condon,Connor Hellebuyck,19288,0,CYOW,CYOW,O,19-Feb-17,EST,45.322,-75.669,374,45,30,38,44,22,33,21,30,92,60,75,39,28,35,20,13,284,24,28,15,2540,280,2820,451,636,0,0,30.11,29.55,29.8,1020.2,1001.2,1009.6,46,CLR,Fair,CYOW,O,EST,45.322,-75.669,374,33,25,31,92,32,250,10,17,55,FEW,15,0,0,0,0,0,0,0,0,0,29.66,1004.8,54,CLR,Few High Clouds,19-Feb-17
650,CYOW 19/Mar/2015 07,650,3/19/15,19-Mar-15,19-Mar-15, Bruins,4, Senators,6,,NA,,NA,,,19270,0,CYOW,CYOW,O,19-Mar-15,EST,45.322,-75.669,374,30,7,20,30,-4,10,-2,2,71,27,48,22,6,15,13,8,270,20,10,15,4362,438,4800,712,728,0,0,30.37,30.21,30.3,1029.3,1023.7,1027,46,CLR,Fair,CYOW,O,EST,45.322,-75.669,374,10,-1,0,61,8,300,7,0,173,SKC,15,50,5,55,50,55,71,0,0,0,30.33,1027.9,46,CLR,Fair,19-Mar-15
651,CYOW 19/Mar/2016 07,651,3/19/16,19-Mar-16,19-Mar-16, Canadiens,0, Senators,5,W,-138,5.5,-114,Andrew Hammond,Ben Scrivens,19722,1,CYOW,CYOW,O,19-Mar-16,EST,45.322,-75.669,374,33,14,23,31,-1,9,0,4,61,28,44,24,12,18,17,9,329,22,4,15,4401,442,4843,716,728,0,0,30.26,30.1,30.21,1025.5,1020.1,1023.7,46,CLR,Fair,CYOW,O,EST,45.322,-75.669,374,15,2,3,59,12,330,12,5,100,FEW,15,52,5,57,53,58,76,0,0,0,30.22,1024.2,46,CLR,Fair,19-Mar-16
652,CYOW 19/Nov/2015 07,652,11/19/15,19-Nov-15,19-Nov-15, Blue Jackets,0, Senators,3,W,-141,5.5,-104,Craig Anderson,Curtis McElhinney,16925,1,CYOW,CYOW,O,19-Nov-15,EST,45.322,-75.669,374,62,47,56,61,42,55,41,50,94,68,81,58,43,52,21,14,169,33,93,13.6,897,169,1070,48,562,0.23,0,30.03,29.76,29.89,1017.2,1008,1012.2,40,MC,Overcast,CYOW,O,EST,45.322,-75.669,374,57,54,48,72,53,160,15,92,120,BKN,15,0,0,0,0,0,0,99,0.02,0,29.96,1014.6,18,RAIN,Light Rain,19-Nov-15
653,CYOW 19/Nov/2016 07,653,11/19/16,19-Nov-16,19-Nov-16, Panthers,4, Senators,1,L,121,5,NA,Craig Anderson,Roberto Luongo,14132,0,CYOW,CYOW,O,19-Nov-16,EST,45.322,-75.669,374,48,38,42,47,31,43,35,39,99,74,92,45,38,41,16,10,86,22,96,4.7,904,168,1073,42,562,0,0,29.96,29.59,29.74,1015.1,1002.6,1007.6,34,FOG,Fog,CYOW,O,EST,45.322,-75.669,374,38,31,38,99,38,90,10,100,1,VV,0,0,0,0,0,0,0,0,0,0,29.85,1011.4,34,FOG,Fog,19-Nov-16
654,CYOW 19/Nov/2018 07,654,11/19/18,19-Nov-18,19-Nov-18,Panthers,7, Senators,5,W ,-129,O 6,-107,J. Reimer,C. Anderson,11570,0,CYOW,CYOW,O,19-Nov-18,EST,45.317,-75.667,374,32,23,27,32,15,27,21,24,93,75,87,30,24,26,12,6,358,12,99,9.2,885,169,1058,18,562,0.13,0.2,30.09,30.01,30.05,1019.9,1017,1018.5,18,SHWR,Light Rain,CYOW,O,EST,45.317,-75.667,374,25,19,23,93,24,330,5,100,30,OVC,10,0,0,0,0,0,0,0,0,0,30.07,1019,40,MC,Overcast,19-Nov-18
655,CYOW 19/Oct/2013 07,655,10/19/13,19-Oct-13,19-Oct-13, Oilers,3, Senators,1,,NA,,NA,,,18623,#N/A,CYOW,CYOW,O,19-Oct-13,EST,45.322,-75.669,374,59,40,49,58,39,50,39,46,97,68,87,54,42,47,14,6,165,28,87,12.1,1638,294,1933,33,645,0.39,0,29.85,29.55,29.72,1011,1000.8,1006.8,40,MC,Overcast,CYOW,O,EST,45.322,-75.669,374,45,45,43,91,44,180,3,100,15,BKN,15,9,2,11,18,20,25,0,0,0,29.84,1010.6,40,MC,Overcast,19-Oct-13
656,CYOW 19/Oct/2017 07,656,10/19/17,19-Oct-17,19-Oct-17, Devils,5, Senators,4,L,-152,5.5,106,Craig Anderson,Keith Kinkaid,13364,0,CYOW,CYOW,O,19-Oct-17,EST,45.322,-75.669,374,69,48,58,67,47,52,35,46,91,46,67,59,43,52,21,12,219,35,44,14.9,2016,294,2310,189,645,0,0,30.06,29.82,29.93,1018.1,1010.1,1014,44,PC,Partly Cloudy,CYOW,O,EST,45.322,-75.669,374,52,48,46,82,49,180,10,25,250,SCT,15,17,2,19,18,20,25,0,0,0,29.96,1014.9,54,CLR,Few High Clouds,19-Oct-17
657,CYOW 20/Feb/2016 07,657,2/20/16,20-Feb-16,20-Feb-16, Red Wings,2, Senators,3,W,-101,5.5,-135,Craig Anderson,Petr Mrazek,18930,0,CYOW,CYOW,O,20-Feb-16,EST,45.322,-75.669,374,41,31,37,40,21,36,26,34,95,74,88,38,26,35,21,14,211,32,100,9.1,1424,285,1709,0,640,0.01,1.6,29.73,29.5,29.58,1007.3,999.7,1002.3,18,RAIN,Light Rain,CYOW,O,EST,45.322,-75.669,374,36,27,35,95,36,190,15,100,6,OVC,6,0,0,0,0,0,0,0,0,0,29.5,999.7,18,RAIN,Light Rain,20-Feb-16
658,CYOW 20/Jan/2018 07,658,1/20/18,20-Jan-18,20-Jan-18, Maple Leafs,4, Senators,3,L,124,6,109,Craig Anderson,Frederik Andersen,17768,0,CYOW,CYOW,O,20-Jan-18,EST,45.322,-75.669,374,42,31,37,41,23,30,25,27,80,62,69,36,29,33,18,12,232,26,91,12.5,927,168,1097,54,557,0,0,29.96,29.5,29.7,1015.3,999.6,1006.4,40,MC,Overcast,CYOW,O,EST,45.322,-75.669,374,36,26,25,66,32,220,15,100,150,OVC,10,0,0,0,0,0,0,0,0,0,29.55,1001.3,40,MC,Overcast,20-Jan-18
659,CYOW 20/Mar/2014 07,659,3/20/14,20-Mar-14,20-Mar-14, Lightning,5, Senators,4,,NA,,NA,,,17136,#N/A,CYOW,CYOW,O,20-Mar-14,EST,45.322,-75.669,374,37,29,34,37,19,36,25,31,100,75,88,36,29,33,23,15,237,30,100,8.4,2214,442,2659,0,731,0.05,0.3,29.73,29.52,29.59,1007.3,1000,1002.3,9,SNOW,Light Snow,CYOW,O,EST,45.322,-75.669,374,37,30,36,95,36,210,10,100,15,OVC,12,28,5,32,55,60,78,0,0,0,29.52,1000.1,18,RAIN,Light Rain,20-Mar-14
660,CYOW 20/Mar/2018 07,660,3/20/18,20-Mar-18,20-Mar-18, Panthers,7, Senators,2,L,125,6,-110,Craig Anderson,James Reimer,14434,0,CYOW,CYOW,O,20-Mar-18,EST,45.322,-75.669,374,31,10,22,31,-1,11,1,6,66,40,52,25,9,17,12,8,327,12,2,15,4382,442,4824,704,731,0,0,30.09,29.98,30.04,1019.8,1016.1,1018,47,CLR,Clear,CYOW,O,EST,45.322,-75.669,374,13,-1,1,58,10,330,12,0,398,SKC,15,55,5,60,55,60,78,0,0,0,30.07,1019.4,47,CLR,Clear,20-Mar-18
661,CYOW 20/Nov/2013 07,661,11/20/13,20-Nov-13,20-Nov-13, Wild,4, Senators,3,,NA,,NA,,,16642,#N/A,CYOW,CYOW,O,20-Nov-13,EST,45.322,-75.669,374,34,13,24,33,8,19,12,16,94,48,70,28,15,22,7,4,133,7,22,15,1598,168,1766,468,559,0,0,30.64,30.47,30.58,1038.3,1032.6,1036.3,54,CLR,Few High Clouds,CYOW,O,EST,45.322,-75.669,374,16,16,14,94,15,270,2,5,220,FEW,15,0,0,0,0,0,0,0,0,0,30.59,1036.5,45,CLR,Mostly Clear,20-Nov-13
662,CYOW 20/Nov/2014 07,662,11/20/14,20-Nov-14,20-Nov-14, Predators,2, Senators,3,,NA,,NA,,,16796,0,CYOW,CYOW,O,20-Nov-14,EST,45.322,-75.669,374,30,21,26,30,10,21,12,15,86,51,65,25,20,23,23,15,222,39,65,13.2,1185,168,1355,265,559,0,0,29.86,29.64,29.7,1011.6,1004.3,1006.4,42,MC,Mostly Cloudy,CYOW,O,EST,45.322,-75.669,374,27,15,16,64,23,230,14,75,84,BKN,10,0,0,0,0,0,0,0,0,0,29.64,1004.3,42,MC,Mostly Cloudy,20-Nov-14
663,CYOW 20/Oct/2018 07,663,10/20/18,20-Oct-18,20-Oct-18,Canadiens,3, Senators,4,L ,-120,O 6,100,C. Price,C. Anderson,18442,0,CYOW,CYOW,O,20-Oct-18,EST,45.317,-75.667,374,53,34,46,53,26,46,27,36,94,41,68,47,33,42,28,16,266,33,58,14.8,1830,288,2118,234,642,0.06,0,29.76,29.37,29.54,1008.3,994.9,1000.6,42,MC,Mostly Cloudy,CYOW,O,EST,45.317,-75.667,374,48,42,43,82,46,230,16,70,36,BKN,15,10,2,12,16,18,23,0,0,0,29.42,996.5,42,MC,Mostly Cloudy,20-Oct-18
664,CYOW 21/Dec/2013 07,664,12/21/13,21-Dec-13,21-Dec-13, Coyotes,4, Senators,3,,NA,,NA,,,16716,#N/A,CYOW,CYOW,O,21-Dec-13,EST,45.322,-75.669,374,22,18,21,22,6,20,17,18,92,85,90,22,18,20,13,7,48,13,100,6.3,630,125,756,0,524,0.24,0,30.03,29.81,29.91,1017.5,1010.3,1013.7,9,SNOW,Light Snow,CYOW,O,EST,45.322,-75.669,374,19,10,17,91,18,50,7,100,14,OVC,4,0,0,0,0,0,0,0,0,0,29.85,1011.4,9,SNOW,Light Snow,21-Dec-13
665,CYOW 21/Feb/2015 07,665,2/21/15,21-Feb-15,21-Feb-15, Panthers,1, Senators,4,,NA,,NA,,,16938,1,CYOW,CYOW,O,21-Feb-15,EST,45.322,-75.669,374,12,-5,6,12,-17,9,-15,1,92,54,79,11,-5,5,10,7,93,18,100,5.3,1452,289,1738,0,643,0.31,4.6,30.29,30.03,30.13,1026.8,1017.8,1021.5,9,SNOW,Light Snow,CYOW,O,EST,45.322,-75.669,374,1,-13,-6,71,0,110,9,100,48,OVC,10,0,0,0,0,0,0,0,0,0,30.22,1024.4,9,SNOW,Light Snow,21-Feb-15
666,CYOW 21/Jan/2015 07,666,1/21/15,21-Jan-15,21-Jan-15, Maple Leafs,3, Senators,4,,NA,,NA,,,18894,1,CYOW,CYOW,O,21-Jan-15,EST,45.322,-75.669,374,14,-7,3,14,-17,1,-9,-4,84,57,73,11,-6,2,9,5,359,9,18,15,1622,169,1791,493,559,0,0,30.23,30.14,30.19,1024.9,1021.6,1023.6,45,CLR,Mostly Clear,CYOW,O,EST,45.322,-75.669,374,-6,-6,-9,84,-6,270,2,50,149,SKC,15,0,0,0,0,0,0,0,0,0,30.19,1023.4,42,MC,Mostly Cloudy,21-Jan-15
667,CYOW 21/Mar/2015 07,667,3/21/15,21-Mar-15,21-Mar-15, Maple Leafs,3, Senators,5,,NA,,NA,,,19194,2,CYOW,CYOW,O,21-Mar-15,EST,45.322,-75.669,374,35,16,28,34,3,34,3,23,100,58,83,34,15,28,25,13,273,36,82,10.1,2246,450,2697,23,734,0.17,1.3,30.08,29.66,29.87,1019.3,1005,1012,9,SNOW,Light Snow,CYOW,O,EST,45.322,-75.669,374,32,23,30,93,31,190,12,100,7,OVC,3,30,6,36,59,65,85,99,0.01,0,29.86,1011.8,9,SNOW,Light Snow,21-Mar-15
668,CYOW 21/Nov/2015 07,668,11/21/15,21-Nov-15,21-Nov-15, Flyers,0, Senators,4,W,-152,5.5,-133,Craig Anderson,Steve Mason,18578,3,CYOW,CYOW,O,21-Nov-15,EST,45.322,-75.669,374,41,26,35,41,23,28,23,26,86,57,71,36,25,31,17,8,100,23,86,15,816,164,980,6,557,0,0,30.28,29.75,30.11,1026,1007.9,1020.2,40,MC,Overcast,CYOW,O,EST,45.322,-75.669,374,28,28,23,80,27,150,3,100,240,BKN,15,0,0,0,0,0,0,0,0,0,30.27,1025.7,42,MC,Mostly Cloudy,21-Nov-15
