Key2,﻿Keyno,FullDate,Month,Day,Year,DateDate,Season,Start (ET),Hour,Visitor/Neutral,Visitor Pts,Home/Neutral,Home Pts,OT,NumberOT,Attendance,Notes,MonthW,Covered Line,Away ATS,Home ATS,CoveredO/U,O/U,DateWeek,Keyyr,Capacity,New Stadium Season,Years in Stadium,City Played,Weather Station,WKey,DayAVGTemp,DayHighTemp,DayAVGHumid,DayHighHumid,DayAVGWind,DayHighWind,DayAVGCloud,DayAVGVisibility,DayAVGSunMin,DayPrecipWaterEQ,DayPrecipSnow,DayAVGWeatherLetterCode,DayAVGWeatherType,Hour Weather Station Code,Hour Data Type,Hour Time Zone,Hour Latitude,Hour Longitude,Hour Elevation,Hour Temperature,Hour Feels Like,Hour Dew Point,Hour Relative Humidity,Hour Wet Bulb Temp,Hour Wind Direction,Hour Wind Speed,Hour Cloud Cover percent,Hour Cloud Ceiling,Hour Cloud Cover Type,Hour Visibility,Hour Solar Irradiance Beam,Hour Solar Irradiance Diffuse,Hour Solar Irradiance Global,Hour Solar Irradiance Possible Beam,Hour Solar Irradiance Possible Global,Hour Solar Irradiance ET,Hour Probability of Precipitation,Hour Water EQ,Hour Snowfall,Hour Pressure Inches,Hour Pressure Millibars,Hour Weather Code Digit Numeric,Hour Weather Code Alpha Numeric,Hour Weather Text,Hour Data Date_1,Hour Data Date_2
CYQG 12/Nov/2017 16,DET43051,11/12/2017,11,12,2017,12-Nov-17,2018,4:00p,16,MIA,103,DET,112,0,0,"16,236",,Nov,Y,2.5,-2.5,O,200.5,Sun,DET2018,20332,0,0,Detroit,CYQG,CYQG43051,36,41,79,93,3,8,100,8.1,0,0.08,0,RAIN,Light Rain,CYQG,O,EST,42.276,-82.956,623,37,37,34,87,36,270,2,100,40,OVC,5,44,9,52,87,96,125,0,0,0,30.3,1026.7,18,RAIN,Light Rain,12-Nov-17,16
CYQG 13/Apr/2014 16,DET41742,4/13/2014,4,13,2014,13-Apr-14,2014,3:30p,16,TOR,116,DET,107,0,0,"16,944",,Apr,N,-6.5,6.5,O,205.5,Sun,DET2014,22076,0,25,Detroit,CYQG,CYQG41742,64,76,74,99,14,26,92,14.3,62,0,0,PC,High Overcast,CYQG,O,EST,42.276,-82.956,623,75,78,59,57,65,240,16,100,270,OVC,15,288,48,336,480,528,686,0,0,0,29.73,1006.8,50,PC,High Overcast,13-Apr-14,16
CYQG 13/Dec/2013 20,DET41621,12/13/2013,12,13,2013,13-Dec-13,2014,7:30p,20,BKN,99,DET,103,0,0,"15,159",,Dec,N,6,-6,O,197.5,Fri,DET2014,22076,0,25,Detroit,CYQG,CYQG41621,23,29,76,85,10,17,96,12.2,54,0,0,MC,Overcast,CYQG,O,EST,42.276,-82.956,623,26,16,19,76,23,90,9,100,22,OVC,8,0,0,0,0,0,0,0,0,0,30.26,1025.9,40,MC,Overcast,13-Dec-13,20
CYQG 14/Dec/2015 20,DET42352,12/14/2015,12,14,2015,14-Dec-15,2016,7:30p,20,LAC,105,DET,103,1,1,"13,525",,Dec,P,-2,2,O,204.5,Mon,DET2016,22076,0,27,Detroit,CYQG,CYQG42352,53,60,83,94,15,29,87,13.6,39,0,0,MC,Mostly Cloudy,CYQG,O,EST,42.276,-82.956,623,50,44,41,71,46,240,18,100,140,BKN,15,0,0,0,0,0,0,0,0,0,29.4,995.8,42,MC,Mostly Cloudy,14-Dec-15,20
CYQG 14/Feb/2018 19,DET43145,2/14/2018,2,14,2018,14-Feb-18,2018,7:00p,19,ATL,98,DET,104,0,0,"15,849",,Feb,N,10.5,-10.5,U,207.5,Wed,DET2018,20332,0,0,Detroit,CYQG,CYQG43145,32,39,87,100,11,15,38,5.6,453,0,0,MC,Mostly Cloudy,CYQG,O,EST,42.276,-82.956,623,37,29,34,89,36,210,13,85,33,BKN,8,0,0,0,0,0,0,0,0,0,29.96,1015.3,42,MC,Mostly Cloudy,14-Feb-18,19
CYQG 14/Jan/2015 20,DET42018,1/14/2015,1,14,2015,14-Jan-15,2015,7:30p,20,NOP,105,DET,94,0,0,"12,016",,Jan,N,3.5,-3.5,U,203.5,Wed,DET2015,22076,0,26,Detroit,CYQG,CYQG42018,8,20,80,92,6,12,69,9.6,358,0,0,SNOW,Light Snow,CYQG,O,EST,42.276,-82.956,623,7,-7,3,85,6,200,9,100,110,BKN,15,0,0,0,0,0,0,0,0,0,30.27,1026.5,42,MC,Mostly Cloudy,14-Jan-15,20
CYQG 14/Nov/2016 20,DET42688,11/14/2016,11,14,2016,14-Nov-16,2017,7:30p,20,OKC,88,DET,104,0,0,"14,172",,Nov,Y,-1,1,U,203,Mon,DET2017,22076,0,28,Detroit,CYQG,CYQG42688,44,59,68,87,10,15,55,15,190,0,0,PC,High Clouds,CYQG,O,EST,42.276,-82.956,623,43,38,37,81,40,210,8,100,230,BKN,15,0,0,0,0,0,0,0,0,0,29.93,1014.2,52,PC,High Clouds,14-Nov-16,20
CYQG 15/Dec/2013 18,DET41623,12/15/2013,12,15,2013,15-Dec-13,2014,6:00p,18,POR,111,DET,109,0,0,"13,003",,Dec,Y,-3.5,3.5,O,208,Sun,DET2014,22076,0,25,Detroit,CYQG,CYQG41623,21,26,85,96,14,25,87,7.6,0,0.06,0,SNOW,Light Snow,CYQG,O,EST,42.276,-82.956,623,21,5,15,76,19,290,22,100,42,OVC,6,0,0,0,0,0,0,99,0.01,0,29.9,1013.4,8,SHWR,Snow Showers,15-Dec-13,18
CYQG 15/Feb/2017 20,DET42781,2/15/2017,2,15,2017,15-Feb-17,2017,7:30p,20,DAL,91,DET,98,0,0,"13,549",,Feb,Y,4.5,-4.5,U,200.5,Wed,DET2017,22076,0,28,Detroit,CYQG,CYQG42781,29,34,71,87,17,25,89,12.2,6,0.09,0.2,SHWR,Snow Showers,CYQG,O,EST,42.276,-82.956,623,28,17,19,69,26,310,14,100,25,OVC,10,0,0,0,0,0,0,99,0.01,0.1,29.8,1010,8,SHWR,Snow Showers,15-Feb-17,20
CYQG 15/Jan/2018 13,DET43115,1/15/2018,1,15,2018,15-Jan-18,2018,12:30p,13,CHA,118,DET,107,0,0,"17,200",,Jan,N,2.5,-2.5,O,203,Mon,DET2018,20332,0,0,Detroit,CYQG,CYQG43115,18,22,81,96,9,14,100,6.1,0,0.21,0,SNOW,Light Snow,CYQG,O,EST,42.276,-82.956,623,19,6,16,86,18,130,14,100,13,OVC,2.5,178,36,214,357,393,510,0,0.01,0,30.25,1025.9,8,SHWR,Snow Showers,15-Jan-18,13
