date information,vs,Score,Type,Line,O/U,Team,Game Outcome,Team Score,Opponent Score,Overtime,Spread Outcome,Spread Wins,Spread Losses,line*,O/U Outcome,Over Wins,Under Wins,Game O/U,Total Score,Game Margin,Day of Week,Date,Season,key,attendance
Thursday 11/20/14,@ Oakland,L 20-24,Week 12,"L
                  -7.5","O
              42",Kansas City,L,20,24,0,L,0,1,-7.5,O,1,0,42,44,-4,Thursday,11/20/14,2014,Week 12Kansas City2014,52865
Sunday 12/30/18,@ Tampa Bay,W 34-32,Week 17,"L
                  -2.5","O
              51.5",Atlanta,W,34,32,0,L,0,1,-2.5,O,1,0,51.5,66,2,Sunday,12/30/18,2018,Week 17Atlanta2018,52884
Sunday 10/27/13,@ Oakland,L 18-21,Week 8,"L
                  -2.5","U
              40",Pittsburgh,L,18,21,0,L,0,1,-2.5,U,0,1,40,39,-3,Sunday,10/27/13,2013,Week 8Pittsburgh2013,52950
Sunday 10/14/12,L.A. Rams,W 17-14,Week 6,"L
                  -5.5","U
              38.5",Miami,W,17,14,0,L,0,1,-5.5,U,0,1,38.5,31,3,Sunday,10/14/12,2012,Week 6Miami2012,52983
Sunday 09/30/18,@ Oakland,"L 42-45
           x",Week 4,"L
                  2.5","O
              44.5",Cleveland,L,42,45,0,L,0,1,2.5,O,1,0,44.5,87,-3,Sunday,9/30/18,2018,Week 4Cleveland2018,53387
Sunday 12/21/14,@ Oakland,L 24-26,Week 16,"L
                  -7","O
              41",Buffalo,L,24,26,0,L,0,1,-7,O,1,0,41,50,-2,Sunday,12/21/14,2014,Week 16Buffalo2014,53436
Sunday 09/20/15,@ Oakland,L 33-37,Week 2,"L
                  -6","O
              42.5",Baltimore,L,33,37,0,L,0,1,-6,O,1,0,42.5,70,-4,Sunday,9/20/15,2015,Week 2Baltimore2015,53500
Sunday 12/16/12,Jacksonville,W 24-3,Week 15,"W
                  -7.5","U
              38.5",Miami,W,24,3,0,W,1,0,-7.5,U,0,1,38.5,27,21,Sunday,12/16/12,2012,Week 15Miami2012,53667
Sunday 10/21/18,@ Tampa Bay,"L 23-26
           x",Week 7,"W
                  3.5","U
              52.5",Cleveland,L,23,26,0,W,1,0,3.5,U,0,1,52.5,49,-3,Sunday,10/21/18,2018,Week 7Cleveland2018,53682
Sunday 11/26/17,@ Oakland,L 14-21,Week 12,"L
                  3.5","U
              41",Denver,L,14,21,0,L,0,1,3.5,U,0,1,41,35,-7,Sunday,11/26/17,2017,Week 12Denver2017,53930
Sunday 12/02/12,Jacksonville,W 34-18,Week 13,"W
                  -6","O
              41.5",Buffalo,W,34,18,0,W,1,0,-6,O,1,0,41.5,52,16,Sunday,12/2/12,2012,Week 13Buffalo2012,53971
Sunday 09/14/14,@ Oakland,W 30-14,Week 2,"W
                  -3","O
              41",Houston,W,30,14,0,W,1,0,-3,O,1,0,41,44,16,Sunday,9/14/14,2014,Week 2Houston2014,54063
Sunday 12/26/10,L.A. Chargers,W 34-20,Week 16,"W
                  9","O
              43.5",Cincinnati,W,34,20,0,W,1,0,9,O,1,0,43.5,54,14,Sunday,12/26/10,2010,Week 16Cincinnati2010,54194
Sunday 10/16/16,@ Oakland,W 26-10,Week 6,"W
                  -1","U
              46.5",Kansas City,W,26,10,0,W,1,0,-1,U,0,1,46.5,36,16,Sunday,10/16/16,2016,Week 6Kansas City2016,54211
Sunday 09/16/12,Oakland,W 35-13,Week 2,"W
                  1","O
              41",Miami,W,35,13,0,W,1,0,1,O,1,0,41,48,22,Sunday,9/16/12,2012,Week 2Miami2012,54245
Sunday 12/02/18,@ Oakland,W 40-33,Week 13,"L
                  -14","O
              53.5",Kansas City,W,40,33,0,L,0,1,-14,O,1,0,53.5,73,7,Sunday,12/2/18,2018,Week 13Kansas City2018,54255
