Key2,GameKey,FullDate,Month,Day,Year,Date2,Date3,Season,Start (ET),Hour,Start-Military,Visitor/Neutral,Visitor Pts,Home/Neutral,Home Pts,OT,SO,Attendance,Notes,MonthW,MoneyLineAway,MoneyLineHome,Covered Line,Away ATS,Home ATS,CoveredO/U,O/U,DateWeek,Keyyr,Capacity,New Stadium Season,Years in Stadium,City Played,Weather Station,WKey,Weather Station Code.x,Data Type.x,Data Date,Time Zone.x,Latitude.x,Longitude.x,Elevation.x,Daily High Temperature,Daily Low Temperature,Daily Average Temperature,Daily Warmest Heat Index,Daily Coldest Wind Chill Temperature,Daily High Dew Point,Daily Low Dew Point,Daily AVG Dew Point,Daily High Relative Humidity,Daily Low Relative Humidity,Daily AVG Humidity,Daily High Wet Bulb Temp,Daily Low Wet Bulb Temp,Daily AVG Wet Bulb Temp,Daily High Wind Speed,Daily AVG Wind Speed,Daily Wind Direction,Daily High Wind Gust,Daily Cloud Cover percent,Daily AVG Visability Miles,Daily Total Solar Irradiance Beam,Daily Total Solar Irradiance Diffuse,Daily Total Solar Irradiance Global,Daily Total Minutes of Sunshine,Daily Total Minutes of Sunshine of a cloud free day,Daily Observed Daily Water Equivalent,Daily Snowfall,Daily High Pressure Inches,Daily Low Pressure Inches,Daily AVG Pressure Inches,Daily Highest Pressure Millibars,Daily Low Pressure Millibars,Daily AVG Daily Pressure Millibars,Daily Two Digit Predomite Weather,Daily Weather Code,Daily Weather Text,Hour Temperature,Hour Feels Like,Hour Dew Point,Hour Relative Humidity,Hour Wet Bulb Temp,Hour Wind Direction,Hour Wind Speed,Hour Cloud Cover percent,Hour Cloud Ceiling,Hour Cloud Cover Type,Hour Visibility,Hour Solar Irradiance Beam,Hour Solar Irradiance Diffuse,Hour Solar Irradiance Global,Hour Solar Irradiance Possible Beam,Hour Solar Irradiance Possible Global,Hour Solar Irradiance ET,Hour Probability of Precipitation,Hour Water EQ,Hour Snowfall,Hour Pressure Inches,Hour Pressure Millibars,Hour Weather Code Digit Numeric,Hour Weather Code Alpha Numeric,Hour Weather Text,Militaryminusfour,Minus Four Temperature,Minus Four Feels Like,Minus Four Dew Point,Minus Four Relative Humidity,Minus Four Wet Bulb Temp,Minus Four Wind Direction,Minus Four Wind Speed,Minus Four Cloud Cover percent,Minus Four Cloud Ceiling,Minus Four Cloud Cover Type,Minus Four Visibility,Minus Four Solar Irradiance Beam,Minus Four Solar Irradiance Diffuse,Minus Four Solar Irradiance Global,Minus Four Solar Irradiance Possible Beam,Minus Four Solar Irradiance Possible Global,Minus Four Solar Irradiance ET,Minus Four Probability of Precipitation,Minus Four Water EQ,Minus Four Snowfall,Minus Four Pressure Inches,Minus Four Pressure Millibars,Minus Four Weather Code Digit Numeric,Minus Four Weather Code Alpha Numeric,Minus Four Weather Text
KCQT 14/Jan/2015 18,LAK42018,1/14/15,1,14,2015,14-Jan-15,14-Jan-15,2015, 10:30 PM,10,22,NJD,5,LAK,3,0,0,"18,230",0,Jan,203,-227,NA,1.5 (3.5),-1.5,O,5,Wednesday,LA2015,18230,0,15,Los Angeles,KCQT,KCQT42018,KCQT,O,14-Jan-15,PST,34.022,-118.291,184,73,47,59,73,48,50,32,41,83,23,58,54,45,50,7,1,331,7,1,9.9,2860,287,3147,599,607,0,0,30.2,30.1,30.15,1022.8,1019.4,1020.9,46,CLR,Fair,56,56,45,67,50,0,0,1,301,SCT,10,0,0,0,0,0,0,0,0,0,30.19,1022.5,46,CLR,Fair,18,63,63,39,41,51,0,0,2,301,SCT,10,0,0,0,0,0,0,0,0,0,30.16,1021.2,46,CLR,Fair
KCQT 14/Jan/2017 18,LAK42749,1/14/17,1,14,2017,14-Jan-17,14-Jan-17,2017, 10:00 PM,10,22,WPG,2,LAK,3,1,0,"18,230",0,Jan,171,-190,NA,1.5 (0.5),-1.5,U,5,Saturday,LA2017,18230,0,17,Los Angeles,KCQT,KCQT42749,KCQT,O,14-Jan-17,PST,34.022,-118.291,184,72,47,59,71,47,51,45,47,93,41,69,58,46,53,5,1,355,5,1,9.3,2863,287,3150,601,607,0,0,30.05,29.95,29.99,1017.6,1014,1015.6,46,CLR,Fair,59,59,49,69,54,0,0,0,201,CLR,10,0,0,0,0,0,0,0,0,0,29.99,1015.4,46,CLR,Fair,18,65,65,45,49,54,0,0,0,201,CLR,10,0,0,0,0,0,0,0,0,0,29.95,1014.1,46,CLR,Fair
KCQT 14/Mar/2015 18,LAK42077,3/14/15,3,14,2015,14-Mar-15,14-Mar-15,2015, 10:00 PM,10,22,NSH,2,LAK,1,0,0,"18,230",0,Mar,137,-152,NA,1.5 (2.5),-1.5,U,5,Saturday,LA2015,18230,0,15,Los Angeles,KCQT,KCQT42077,KCQT,O,14-Mar-15,PST,34.022,-118.291,184,93,62,77,91,63,45,34,38,51,13,27,62,50,57,6,1,52,6,8,10,5138,529,5667,657,717,0,0,30.07,29.96,30.01,1018.3,1014.4,1016.2,46,CLR,Fair,74,75,42,32,57,0,0,3,301,SCT,10,0,0,0,0,0,0,0,0,0,30,1016,46,CLR,Fair,18,82,82,37,20,58,370,3,3,201,SCT,10,0,0,0,0,0,0,0,0,0,29.96,1014.7,46,CLR,Fair
KCQT 14/Mar/2017 18,LAK42808,3/14/17,3,14,2017,14-Mar-17,14-Mar-17,2017, 10:30 PM,10,22,ARI,3,LAK,2,1,1,"18,230",0,Mar,242,-273,NA,1.5 (2.5),-1.5,U,5,Tuesday,LA2017,18230,0,17,Los Angeles,KCQT,KCQT42808,KCQT,O,14-Mar-17,PST,34.022,-118.291,184,86,52,67,84,53,57,45,53,100,28,67,67,53,58,5,1,307,5,34,6.6,5043,529,5572,616,717,0,0,30.07,30.01,30.04,1018.1,1016.1,1017,46,CLR,Fair,61,61,56,84,58,0,0,29,301,BKN,7,0,0,0,0,0,0,0,0,0,30.07,1017.9,52,PC,High Clouds,18,68,68,52,57,59,0,0,38,301,BKN,10,0,0,0,0,0,0,0,0,0,30.02,1016.5,52,PC,High Clouds
KCQT 14/Mar/2019 18,LAK43538,3/14/19,3,14,2019,14-Mar-19,14-Mar-19,2019, 10:30 PM,10,22,NSH,3,LAK,1,0,0,"17,730",0,Mar,-191,172,NA,-1.5 (0.5),1.5,U,5.5,Thursday,LA2019,18230,0,19,Los Angeles,KCQT,KCQT43538,KCQT,O,14-Mar-19,PST,34.017,-118.283,184,71,48,60,71,49,37,23,30,61,17,36,50,42,47,8,1,338,8,1,10,5274,529,5803,701,717,0,0,30.2,30.1,30.15,1022.6,1019.3,1020.9,46,CLR,Fair,57,57,34,42,46,0,0,0,201,CLR,10,0,0,0,0,0,0,0,0,0,30.18,1021.9,46,CLR,Fair,18,65,65,28,25,48,370,3,0,359,CLR,10,0,0,0,0,0,0,0,0,0,30.13,1020.3,46,CLR,Fair
KCQT 14/Nov/2015 18,LAK42322,11/14/15,11,14,2015,14-Nov-15,14-Nov-15,2016, 10:00 PM,10,22,EDM,3,LAK,4,0,0,"18,230",0,Nov,197,-220,NA,1.5 (0.5),-1.5,O,5,Saturday,LA2016,18230,0,16,Los Angeles,KCQT,KCQT42322,KCQT,O,14-Nov-15,PST,34.022,-118.291,184,78,51,63,78,52,51,9,29,75,7,34,56,40,48,5,1,5,5,1,9.4,3212,322,3534,620,625,0,0,29.98,29.88,29.92,1014.9,1011.6,1013.2,46,CLR,Fair,58,58,50,75,54,0,0,0,201,CLR,5,0,0,0,0,0,0,0,0,0,29.92,1013.2,35,HAZY,Haze,18,64,64,46,52,54,0,0,0,201,CLR,10,0,0,0,0,0,0,0,0,0,29.89,1012,46,CLR,Fair
KCQT 14/Oct/2014 18,LAK41926,10/14/14,10,14,2014,14-Oct-14,14-Oct-14,2015, 10:30 PM,10,22,EDM,1,LAK,6,0,0,"18,230",0,Oct,205,-230,NA,1.5,-1.5 (3.5),O,5,Tuesday,LA2015,18230,0,15,Los Angeles,KCQT,KCQT41926,KCQT,O,14-Oct-14,PST,34.022,-118.291,184,76,66,69,78,66,62,56,59,87,58,73,65,61,63,6,1,354,6,76,7.9,3265,453,3718,259,682,0,0,29.99,29.9,29.95,1015.6,1012.6,1014,46,CLR,Fair,67,67,57,71,61,0,0,80,301,BKN,10,0,0,0,0,0,0,0,0,0,29.93,1013.5,46,CLR,Fair,18,68,68,58,70,62,370,6,78,301,OVC,10,0,0,0,0,0,0,0,0,0,29.91,1013,46,CLR,Fair
KCQT 14/Oct/2016 18,LAK42657,10/14/16,10,14,2016,14-Oct-16,14-Oct-16,2017, 10:30 PM,10,22,PHI,4,LAK,2,0,0,"18,453",0,Oct,137,-152,NA,1.5 (3.5),-1.5,O,5.5,Friday,LA2017,18230,0,17,Los Angeles,KCQT,KCQT42657,KCQT,O,14-Oct-16,PST,34.022,-118.291,184,74,60,65,72,61,60,57,58,93,60,80,64,59,61,6,1,37,6,45,6.9,3981,446,4428,488,682,0,0,30.04,29.94,29.99,1017.1,1013.6,1015.2,46,CLR,Fair,63,63,58,84,60,100,3,0,201,BKN,10,0,0,0,0,0,0,0,0,0,29.98,1015.1,46,CLR,Fair,18,64,64,57,78,60,0,0,0,201,CLR,10,0,0,0,0,0,0,0,0,0,29.95,1014,46,CLR,Fair
KCQT 15/Jan/2018 12,LAK43115,1/15/18,1,15,2018,15-Jan-18,15-Jan-18,2018, 4:00 PM,4,16,SJS,4,LAK,1,0,0,"18,230",0,Jan,106,-117,NA,1.5 (4.5),-1.5,U,5.5,Monday,LA2018,18230,0,18,Los Angeles,KCQT,KCQT43115,KCQT,O,15-Jan-18,PST,34.022,-118.291,184,72,51,60,70,51,55,38,47,93,34,62,58,46,53,8,1,298,8,14,8.9,2754,289,3043,541,608,0,0,30.13,30.06,30.09,1020.3,1017.9,1018.9,46,CLR,Fair,66,66,50,56,57,0,0,20,301,SCT,10,87,10,97,97,107,139,0,0,0,30.08,1018.6,54,CLR,Few High Clouds,12,68,68,51,55,58,270,8,9,360,CLR,10,482,50,532,505,555,721,0,0,0,30.1,1019.1,46,CLR,Fair
KCQT 15/Mar/2014 18,LAK41713,3/15/14,3,15,2014,15-Mar-14,15-Mar-14,2014, 10:30 PM,10,22,ANA,2,LAK,1,0,0,"18,278",0,Mar,128,-139,NA,1.5 (2.5),-1.5,U,5,Saturday,LA2014,18230,0,14,Los Angeles,KCQT,KCQT41713,KCQT,O,15-Mar-14,PST,34.022,-118.291,184,81,54,66,80,54,54,44,50,90,31,61,63,52,57,6,1,329,6,0,9.1,5340,534,5874,718,718,0,0,30.19,30.11,30.15,1022.3,1019.5,1020.9,46,CLR,Fair,63,63,51,65,56,0,0,0,201,CLR,10,0,0,0,0,0,0,0,0,0,30.19,1022.3,46,CLR,Fair,18,71,71,44,38,57,0,0,0,201,CLR,10,0,0,0,0,0,0,0,0,0,30.13,1020.2,46,CLR,Fair
KCQT 15/Mar/2018 18,LAK43174,3/15/18,3,15,2018,15-Mar-18,15-Mar-18,2018, 10:00 PM,10,22,DET,1,LAK,4,0,0,"18,230",0,Mar,200,-224,NA,1.5,-1.5 (1.5),U,5.5,Thursday,LA2018,18230,0,18,Los Angeles,KCQT,KCQT43174,KCQT,O,15-Mar-18,PST,34.022,-118.291,184,67,51,58,65,52,54,34,44,93,33,63,55,49,51,8,4,336,8,13,9.8,5339,534,5873,717,718,0.17,0,30.03,29.9,29.97,1016.8,1012.3,1014.9,46,CLR,Fair,56,55,47,72,51,100,5,0,201,CLR,10,0,0,0,0,0,0,0,0,0,30.02,1016.7,46,CLR,Fair,18,61,61,37,41,49,0,0,0,201,CLR,10,0,0,0,0,0,0,0,0,0,29.97,1015,46,CLR,Fair
KCQT 15/Nov/2014 12,LAK41958,11/15/14,11,15,2014,15-Nov-14,15-Nov-14,2015, 4:00 PM,4,16,ANA,2,LAK,3,1,0,"18,230",0,Nov,130,-144,NA,1.5 (0.5),-1.5,U,5,Saturday,LA2015,18230,0,15,Los Angeles,KCQT,KCQT41958,KCQT,O,15-Nov-14,PST,34.022,-118.291,184,72,58,64,70,58,57,46,55,90,56,75,62,54,59,8,2,315,8,41,8.8,2648,318,2966,378,623,0,0,30.08,29.98,30.02,1018.5,1015.3,1016.7,46,CLR,Fair,68,68,57,68,62,370,5,20,21,BKN,10,50,6,56,55,61,79,0,0,0,29.98,1015.3,44,PC,Partly Cloudy,12,70,70,55,59,61,0,0,5,43,FEW,10,525,54,579,538,592,768,0,0,0,30.03,1016.8,45,CLR,Mostly Clear
KCQT 16/Feb/2015 18,LAK42051,2/16/15,2,16,2015,16-Feb-15,16-Feb-15,2015, 10:30 PM,10,22,TBL,2,LAK,3,0,0,"18,230",0,Feb,149,-165,NA,1.5 (0.5),-1.5,U,5.5,Monday,LA2015,18230,0,15,Los Angeles,KCQT,KCQT42051,KCQT,O,16-Feb-15,PST,34.022,-118.291,184,70,56,61,68,56,55,53,54,90,59,77,60,54,57,5,1,10,5,34,5.4,4009,401,4410,656,661,0,0,30.03,29.95,29.98,1016.8,1014.2,1015.3,35,HAZY,Haze,60,60,54,80,57,0,0,100,11,OVC,6,0,0,0,0,0,0,0,0,0,30.02,1016.5,35,HAZY,Haze,18,62,62,54,75,58,0,0,0,201,CLR,9,0,0,0,0,0,0,0,0,0,29.96,1014.7,46,CLR,Fair
KCQT 16/Feb/2017 18,LAK42782,2/16/17,2,16,2017,16-Feb-17,16-Feb-17,2017, 10:30 PM,10,22,ARI,5,LAK,3,0,0,"18,230",0,Feb,230,-259,NA,1.5 (3.5),-1.5,O,5,Thursday,LA2017,18230,0,17,Los Angeles,KCQT,KCQT42782,KCQT,O,16-Feb-17,PST,34.022,-118.291,184,68,51,59,68,51,56,50,53,97,53,80,60,51,56,5,1,309,5,60,7.6,3184,401,3585,318,661,0.02,0,30.05,29.89,29.97,1017.5,1012.1,1014.9,54,CLR,Few High Clouds,60,60,53,78,56,0,0,100,80,OVC,10,0,0,0,0,0,0,0,0,0,29.92,1012.9,40,MC,Overcast,18,61,61,53,75,57,0,0,79,100,BKN,10,0,0,0,0,0,0,0,0,0,29.92,1013.2,40,MC,Overcast
KCQT 16/Feb/2019 18,LAK43512,2/16/19,2,16,2019,16-Feb-19,16-Feb-19,2019, 10:30 PM,10,22,BOS,4,LAK,2,0,0,"18,230",0,Feb,-133,120,NA,-1.5 (0.5),1.5,O,5.5,Saturday,LA2019,18230,0,19,Los Angeles,KCQT,KCQT43512,KCQT,O,16-Feb-19,PST,34.017,-118.283,184,60,45,53,60,45,46,33,39,93,39,63,51,42,47,9,3,300,20,4,10,4010,401,4411,620,661,0,0,30.17,30.05,30.1,1021.7,1017.7,1019.2,46,CLR,Fair,52,52,39,61,46,370,3,0,127,CLR,10,0,0,0,0,0,0,0,0,0,30.08,1018.6,46,CLR,Fair,18,57,56,44,62,51,270,6,100,95,OVC,10,0,0,0,0,0,0,0,0,0,30.06,1018,40,MC,Overcast
KCQT 16/Jan/2016 12,LAK42385,1/16/16,1,16,2016,16-Jan-16,16-Jan-16,2016, 4:00 PM,4,16,OTT,5,LAK,3,0,0,"18,230",0,Jan,170,-189,NA,1.5 (3.5),-1.5,O,5,Saturday,LA2016,18230,0,16,Los Angeles,KCQT,KCQT42385,KCQT,O,16-Jan-16,PST,34.022,-118.291,184,67,54,59,66,54,54,47,51,90,61,77,58,51,55,6,1,347,6,53,8.9,2410,291,2701,347,610,0,0,30.22,30.1,30.15,1023.2,1019.1,1020.8,50,PC,High Overcast,62,62,54,75,58,280,5,57,301,OVC,9,71,10,81,99,109,141,0,0,0,30.1,1019.3,50,PC,High Overcast,12,63,63,50,63,56,0,0,0,201,CLR,7,508,51,559,508,559,725,0,0,0,30.16,1021,46,CLR,Fair
KCQT 16/Jan/2017 12,LAK42751,1/16/17,1,16,2017,16-Jan-17,16-Jan-17,2017, 4:00 PM,4,16,TBL,2,LAK,1,0,0,"18,230",0,Jan,111,-123,NA,1.5 (2.5),-1.5,U,5,Monday,LA2017,18230,0,17,Los Angeles,KCQT,KCQT42751,KCQT,O,16-Jan-17,PST,34.022,-118.291,184,66,52,58,65,52,52,49,51,93,56,78,57,51,54,7,1,288,7,30,9.7,2590,291,2881,480,610,0,0,30.1,30.01,30.05,1019.2,1016.3,1017.6,46,CLR,Fair,62,62,50,65,56,270,7,3,301,SCT,10,98,10,108,99,109,141,0,0,0,30.02,1016.5,54,CLR,Few High Clouds,12,64,64,49,58,56,0,0,5,28,FEW,10,495,51,546,508,559,725,0,0,0,30.06,1017.7,46,CLR,Fair
KCQT 16/Mar/2015 18,LAK42079,3/16/15,3,16,2015,16-Mar-15,16-Mar-15,2015, 10:30 PM,10,22,ARI,0,LAK,1,0,0,"18,230",0,Mar,318,-365,NA,1.5 (0.5),-1.5,U,5,Monday,LA2015,18230,0,15,Los Angeles,KCQT,KCQT42079,KCQT,O,16-Mar-15,PST,34.022,-118.291,184,90,66,75,90,67,49,32,43,51,13,32,62,54,58,7,1,29,7,28,10,4724,539,5263,569,721,0,0,29.94,29.86,29.9,1013.8,1011.1,1012.5,46,CLR,Fair,69,69,46,44,57,0,0,41,301,BKN,10,0,0,0,0,0,0,0,0,0,29.91,1013,46,CLR,Fair,18,77,77,42,29,58,0,0,2,301,SCT,10,0,0,0,0,0,0,0,0,0,29.86,1011.1,46,CLR,Fair
KCQT 16/Mar/2017 18,LAK42810,3/16/17,3,16,2017,16-Mar-17,16-Mar-17,2017, 10:30 PM,10,22,BUF,0,LAK,2,0,0,"18,230",0,Mar,193,-215,NA,1.5,-1.5 (0.5),U,5,Thursday,LA2017,18230,0,17,Los Angeles,KCQT,KCQT42810,KCQT,O,16-Mar-17,PST,34.022,-118.291,184,79,58,66,79,58,58,53,55,90,42,71,64,56,60,7,1,24,7,1,9,5387,539,5926,720,721,0,0,30.11,30.01,30.06,1019.6,1016.1,1017.9,46,CLR,Fair,62,62,56,81,59,0,0,6,301,SCT,10,0,0,0,0,0,0,0,0,0,30.05,1017.3,54,CLR,Few High Clouds,18,68,68,55,63,60,270,3,0,301,SCT,10,0,0,0,0,0,0,0,0,0,30.02,1016.5,54,CLR,Few High Clouds
KCQT 16/Mar/2019 12,LAK43540,3/16/19,3,16,2019,16-Mar-19,16-Mar-19,2019, 4:00 PM,4,16,FLA,4,LAK,3,0,0,"18,022",0,Mar,-178,160,NA,-1.5,1.5 (0.5),O,5.5,Saturday,LA2019,18230,0,19,Los Angeles,KCQT,KCQT43540,KCQT,O,16-Mar-19,PST,34.017,-118.283,184,81,50,66,81,50,42,25,33,50,13,32,56,42,50,5,0,10,9,0,10,5391,539,5930,721,721,0,0,30.04,29.95,30,1017.2,1013.9,1015.6,46,CLR,Fair,79,79,32,18,56,0,0,0,400,CLR,10,302,30,332,302,332,431,0,0,0,29.95,1014,46,CLR,Fair,12,80,80,25,13,54,0,0,0,400,CLR,10,793,79,872,793,872,1133,0,0,0,29.99,1015.4,46,CLR,Fair
KCQT 16/Oct/2014 18,LAK41928,10/16/14,10,16,2014,16-Oct-14,16-Oct-14,2015, 10:30 PM,10,22,STL,0,LAK,1,1,1,"18,230",0,Oct,106,-117,NA,1.5 (0.5),-1.5,U,5,Thursday,LA2015,18230,0,15,Los Angeles,KCQT,KCQT41928,KCQT,O,16-Oct-14,PST,34.022,-118.291,184,77,61,68,78,61,60,55,57,81,52,69,65,58,62,9,2,344,9,1,10,4323,443,4766,658,677,0,0,30.01,29.91,29.95,1016.3,1012.7,1014.4,46,CLR,Fair,66,66,60,81,62,0,0,0,201,CLR,10,0,0,0,0,0,0,0,0,0,29.93,1013.6,46,CLR,Fair,18,69,69,59,70,63,370,5,0,201,CLR,10,0,0,0,0,0,0,0,0,0,29.92,1013.3,46,CLR,Fair
KCQT 16/Oct/2015 18,LAK42293,10/16/15,10,16,2015,16-Oct-15,16-Oct-15,2016, 10:30 PM,10,22,MIN,1,LAK,2,1,0,"18,230",0,Oct,126,-139,NA,1.5 (0.5),-1.5,U,5,Friday,LA2016,18230,0,16,Los Angeles,KCQT,KCQT42293,KCQT,O,16-Oct-15,PST,34.022,-118.291,184,75,70,72,78,70,66,64,65,84,71,79,69,67,68,6,1,329,6,100,10,2209,443,2652,0,677,0,0,29.93,29.87,29.9,1013.2,1011.1,1012.1,40,MC,Overcast,72,72,65,79,67,0,0,100,36,OVC,10,0,0,0,0,0,0,0,0,0,29.91,1012.5,40,MC,Overcast,18,73,77,65,76,68,0,0,100,24,OVC,10,0,0,0,0,0,0,0,0,0,29.88,1011.6,40,MC,Overcast
KCQT 17/Dec/2013 18,LAK41625,12/17/13,12,17,2013,17-Dec-13,17-Dec-13,2014, 10:30 PM,10,22,EDM,0,LAK,3,0,0,"18,118",0,Dec,183,-200,NA,1.5,-1.5 (1.5),U,5.5,Tuesday,LA2014,18230,0,14,Los Angeles,KCQT,KCQT41625,KCQT,O,17-Dec-13,PST,34.022,-118.291,184,82,58,68,80,58,51,25,38,61,19,34,60,46,53,6,1,253,6,37,10,2444,259,2702,480,593,0,0,30.1,29.99,30.04,1019.3,1015.5,1017.3,46,CLR,Fair,64,64,46,52,54,0,0,85,301,OVC,10,0,0,0,0,0,0,0,0,0,30.01,1016.1,46,CLR,Fair,18,70,70,42,37,55,0,0,53,301,BKN,10,0,0,0,0,0,0,0,0,0,30,1015.9,46,CLR,Fair
KCQT 17/Jan/2015 18,LAK42021,1/17/15,1,17,2015,17-Jan-15,17-Jan-15,2015, 10:00 PM,10,22,ANA,3,LAK,2,1,1,"18,422",0,Jan,117,-129,NA,1.5 (2.5),-1.5,U,5.5,Saturday,LA2015,18230,0,15,Los Angeles,KCQT,KCQT42021,KCQT,O,17-Jan-15,PST,34.022,-118.291,184,78,50,63,78,50,48,28,38,70,17,45,58,44,51,6,1,341,6,1,9.9,2933,293,3226,609,611,0,0,30.22,30.1,30.14,1023.4,1019.2,1020.8,46,CLR,Fair,58,58,48,70,53,0,0,4,301,SCT,10,0,0,0,0,0,0,0,0,0,30.2,1022.8,46,CLR,Fair,18,65,65,38,37,52,0,0,0,201,CLR,10,0,0,0,0,0,0,0,0,0,30.14,1020.6,46,CLR,Fair
KCQT 17/Mar/2014 18,LAK41715,3/17/14,3,17,2014,17-Mar-14,17-Mar-14,2014, 10:30 PM,10,22,ARI,4,LAK,3,0,0,"18,118",0,Mar,152,-165,NA,1.5 (2.5),-1.5,O,5,Monday,LA2014,18230,0,14,Los Angeles,KCQT,KCQT41715,KCQT,O,17-Mar-14,PST,34.022,-118.291,184,74,56,64,77,57,56,44,51,81,42,63,63,51,57,9,3,26,20,2,9.5,5440,543,5983,722,723,0,0,30.04,29.78,29.88,1017.2,1008.3,1011.9,46,CLR,Fair,60,60,53,78,56,0,0,13,301,SCT,8,0,0,0,0,0,0,0,0,0,29.81,1009.4,46,CLR,Fair,18,63,63,53,70,57,370,3,2,301,SCT,9,0,0,0,0,0,0,0,0,0,29.78,1008.4,46,CLR,Fair
KCQT 17/Mar/2016 18,LAK42446,3/17/16,3,17,2016,17-Mar-16,17-Mar-16,2016, 10:30 PM,10,22,NYR,3,LAK,4,1,0,"18,230",0,Mar,144,-160,NA,1.5 (0.5),-1.5,O,5,Thursday,LA2016,18230,0,16,Los Angeles,KCQT,KCQT42446,KCQT,O,17-Mar-16,PST,34.022,-118.291,184,81,59,67,80,59,58,47,52,86,34,61,64,54,58,8,2,311,8,10,10,5490,550,6040,723,723,0,0,29.92,29.85,29.89,1013,1010.7,1011.9,46,CLR,Fair,62,62,57,84,59,280,5,70,9,BKN,10,0,0,0,0,0,0,0,0,0,29.92,1013,42,MC,Mostly Cloudy,18,68,68,49,51,58,370,3,0,201,CLR,10,0,0,0,0,0,0,0,0,0,29.85,1010.7,46,CLR,Fair
KCQT 17/Mar/2018 12,LAK43176,3/17/18,3,17,2018,17-Mar-18,17-Mar-18,2018, 4:00 PM,4,16,NJD,3,LAK,0,0,0,"18,230",0,Mar,121,-134,NA,1.5 (4.5),-1.5,U,5.5,Saturday,LA2018,18230,0,18,Los Angeles,KCQT,KCQT43176,KCQT,O,17-Mar-18,PST,34.022,-118.291,184,62,50,55,61,51,51,37,44,93,44,68,52,47,50,6,1,345,6,46,10,4613,543,5156,539,723,0,0,30.04,29.95,30.01,1017.3,1014.3,1016,46,CLR,Fair,58,58,40,51,49,370,3,39,200,CLR,10,246,31,277,306,337,437,0,0,0,30,1015.9,46,CLR,Fair,12,61,61,39,44,50,0,0,35,164,CLR,10,658,80,738,798,878,1140,0,0,0,30.01,1016,46,CLR,Fair
KCQT 17/Nov/2016 18,LAK42691,11/17/16,11,17,2016,17-Nov-16,17-Nov-16,2017, 10:30 PM,10,22,EDM,2,LAK,4,0,0,"18,230",0,Nov,122,-135,NA,1.5,-1.5 (0.5),O,5,Thursday,LA2017,18230,0,17,Los Angeles,KCQT,KCQT42691,KCQT,O,17-Nov-16,PST,34.022,-118.291,184,72,52,62,71,52,52,26,41,67,27,48,58,42,51,6,1,346,6,2,9.7,3001,309,3310,589,620,0,0,30.03,29.88,29.95,1016.6,1011.7,1014,46,CLR,Fair,63,63,39,41,51,0,0,0,201,CLR,10,0,0,0,0,0,0,0,0,0,30,1015.8,46,CLR,Fair,18,65,65,48,54,56,0,0,2,301,SCT,10,0,0,0,0,0,0,0,0,0,29.95,1014.2,54,CLR,Few High Clouds
KCQT 18/Dec/2014 18,LAK41991,12/18/14,12,18,2014,18-Dec-14,18-Dec-14,2015, 10:30 PM,10,22,STL,4,LAK,6,0,0,"18,230",0,Dec,129,-143,NA,1.5,-1.5 (0.5),O,5,Thursday,LA2015,18230,0,15,Los Angeles,KCQT,KCQT41991,KCQT,O,18-Dec-14,PST,34.022,-118.291,184,62,48,55,62,48,49,42,46,86,54,72,54,46,50,5,1,7,5,50,10,1297,259,1555,49,594,0,0,30.21,30.1,30.16,1023.1,1019.3,1021.3,46,CLR,Fair,53,53,48,83,51,0,0,9,201,CLR,10,0,0,0,0,0,0,0,0,0,30.21,1023,46,CLR,Fair,18,57,57,49,75,53,0,0,5,65,FEW,10,0,0,0,0,0,0,0,0,0,30.17,1021.6,45,CLR,Mostly Clear
KCQT 18/Dec/2018 18,LAK43452,12/18/18,12,18,2018,18-Dec-18,18-Dec-18,2019, 10:30 PM,10,22,WPG,1,LAK,4,0,0,"17,405",0,Dec,-157,142,NA,-1.5,1.5 (4.5),U,6,Tuesday,LA2019,18230,0,19,Los Angeles,KCQT,KCQT43452,KCQT,O,18-Dec-18,PST,34.017,-118.283,184,68,53,59,67,54,56,50,53,93,56,82,59,53,56,5,1,355,5,24,8.9,2505,259,2764,533,594,0,0,30.24,30.14,30.18,1023.7,1020.4,1021.8,46,CLR,Fair,56,56,53,90,54,0,0,0,201,CLR,9,0,0,0,0,0,0,0,0,0,30.18,1021.9,46,CLR,Fair,18,60,60,55,84,57,370,3,25,327,CLR,10,0,0,0,0,0,0,0,0,0,30.14,1020.6,46,CLR,Fair
KCQT 18/Feb/2017 18,LAK42784,2/18/17,2,18,2017,18-Feb-17,18-Feb-17,2017, 10:00 PM,10,22,FLA,3,LAK,2,0,0,"18,230",0,Feb,145,-161,NA,1.5 (2.5),-1.5,U,5,Saturday,LA2017,18230,0,17,Los Angeles,KCQT,KCQT42784,KCQT,O,18-Feb-17,PST,34.022,-118.291,184,63,53,56,61,51,53,50,51,93,72,84,57,51,53,6,3,69,6,75,9.1,2214,410,2622,74,665,0.09,0,29.74,29.5,29.59,1007.1,998.9,1001.8,40,MC,Overcast,55,55,51,87,53,0,0,5,25,FEW,10,0,0,0,0,0,0,0,0,0,29.71,1005.9,46,CLR,Fair,18,59,59,52,78,55,0,0,5,75,FEW,10,0,0,0,0,0,0,0,0,0,29.6,1002.1,46,CLR,Fair
