Key,ID,FullDate,Start(ET),Favorite,Underdog ATS,Underdog,Total,Covered O/U,O/U,Season,Week,Attendance,Home/Neutral,Home Line,Away Line,Visitor/Neutral,Home Pts,Visitor Pts, Home Covered,Capacity,New Stadium Season,Years in Stadium,Key,Weather Temperature,Dome,
20131013JAXDEN,DEN2013,10/13/13,4:05,DEN,-27,JAX,54,O,53,2013,Week 6,76862,DEN,-27,27,JAX,35,19,N,76125,0,12,20131013JAXDEN,59,0,
20071125PHINE,NEP2007,11/25/07,8:15,NE,-24.5,PHI,59,O,51.5,2007,Week 12,68756,NE,-24.5,24.5,PHI,31,28,N,68756,0,5,20071125PHINE,36,0,
20190922MIADAL,DAL2019,9/22/19,1:00,DAL,-22.5,MIA,37,U,46.5,2019,Week 3,90127,DAL,-22.5,22.5,MIA,31,6,Y,105000,0,10,20190922MIADAL,54,0,Week 3DAL2019
20071223MIANE,NEP2007,12/23/07,4:15,NE,-22,MIA,35,U,45,2007,Week 16,68756,NE,-22,22,MIA,28,7,N,68756,0,5,20071223MIANE,39,0,
20190922NYJNE,NEP2019,9/22/19,1:00,NE,-21,NYJ,44,O,43,2019,Week 3,65878,NE,-21,21,NYJ,30,14,N,65878,0,17,20190922NYJNE,44,0,Week 3NE2019
20111204INDNE,NEP2011,12/4/11,1:00,NE,-20.5,IND,55,O,48.5,2011,Week 13,68756,NE,-20.5,20.5,IND,31,24,N,68756,0,9,20111204INDNE,54,0,
20071216NYJNE,NEP2007,12/16/07,1:00,NE,-20,NYJ,30,U,41.5,2007,Week 15,68756,NE,-20,20,NYJ,20,10,N,68756,0,5,20071216NYJNE,30,0,
20130922JAXSEA,SEA2013,9/22/13,4:25,SEA,-19.5,JAX,62,O,39.5,2013,Week 3,68087,SEA,-19.5,19.5,JAX,45,17,Y,68740,0,11,20130922JAXSEA,61,0,
20061008TENIND,IND2006,10/8/06,1:00,IND,-17.5,TEN,27,U,48,2006,Week 5,57021,IND,-17.5,17.5,TEN,14,13,N,55531,0,22,20061008TENIND,72,DOME,
20111121KCNE,NEP2011,11/21/11,8:35,NE,-17,KC,37,U,46.5,2011,Week 11,68756,NE,-17,17,KC,34,3,Y,68756,0,9,20111121KCNE,30,0,
20161224NYJNE,NEP2016,12/24/16,1:00,NE,-17,NYJ,44,U,45,2016,Week 16,66829,NE,-17,17,NYJ,41,3,Y,65878,0,14,20161224NYJNE,40,Rain,
20081214DETIND,IND2008,12/14/08,1:00,IND,-17,DET,52,O,45,2008,Week 15,66281,IND,-17,17,DET,31,21,N,67000,1,0,20081214DETIND,72,DOME,
20091115DETMIN,MIN2009,11/15/09,1:00,MIN,-17,DET,37,U,47.5,2009,Week 10,63854,MIN,-17,17,DET,27,10,N,64121,0,27,20091115DETMIN,72,DOME,
20180923BUFMIN,MIN2018,9/23/18,1:00,MIN,-17,BUF,33,U,41,2018,Week 3,66800,MIN,-17,17,BUF,6,27,Y,66860,0,2,20180923BUFMIN,34,0,Week 3MIN2018
20121230ARISF,SFN2012,12/30/12,4:25,SF,-16.5,ARI,40,O,38.5,2012,Week 17,69732,SF,-16.5,16.5,ARI,27,13,N,69732,0,41,20121230ARISF,53,0,
20150927CHISEA,SEA2015,9/27/15,4:25,SEA,-16.5,CHI,26,U,43.5,2015,Week 3,69002,SEA,-16.5,16.5,CHI,26,0,Y,68740,0,13,20150927CHISEA,62,0,
20070923BUFNE,NEP2007,9/23/07,1:00,NE,-16.5,BUF,45,O,41,2007,Week 3,68756,NE,-16.5,16.5,BUF,38,7,Y,68756,0,5,20070923BUFNE,72,0,
20061029SFCHI,CHI2006,10/29/06,1:00,CHI,-16.5,SF,51,O,42,2006,Week 8,62200,CHI,-16.5,16.5,SF,41,10,Y,61500,0,35,20061029SFCHI,43,0,
20130923OAKDEN,DEN2013,9/23/13,8:40,DEN,-16.5,OAK,58,O,49.5,2013,Week 3,76978,DEN,-16.5,16.5,OAK,37,21,N,76125,0,12,20130923OAKDEN,64,0,
20091227LARARI,ARI2009,12/27/09,4:05,ARI,-16.5,LAR,41,U,43.5,2009,Week 16,62624,ARI,-16.5,16.5,LAR,31,10,Y,63400,0,3,20091227LARARI,72,DOME,
20181209CINLAC,LAC2018,12/9/18,4:05,LAC,-16.5,CIN,47,U,48.5,2018,Week 14,25358,LAC,-16.5,16.5,CIN,26,21,N,30000,0,1,20181209CINLAC,79,0,Week 14LAC2018
20171126MIANE,NEP2017,11/26/17,1:00,NE,-16.5,MIA,52,O,49,2017,Week 12,65878,NE,-16.5,16.5,MIA,35,17,Y,65878,0,15,20171126MIANE,64,0,Week 12NE2017
20131103TBSEA,SEA2013,11/3/13,4:05,SEA,-16,TB,51,O,40.5,2013,Week 9,67873,SEA,-16,16,TB,27,24,N,68740,0,11,20131103TBSEA,52,0,
20080907KCNE,NEP2008,9/7/08,1:00,NE,-16,KC,27,U,43.5,2008,Week 1,68756,NE,-16,16,KC,17,10,N,68756,0,6,20080907KCNE,74,0,
20071007CLENE,NEP2007,10/7/07,1:00,NE,-16,CLE,51,O,48,2007,Week 5,68756,NE,-16,16,CLE,34,17,Y,68756,0,5,20071007CLENE,62,0,
20111211INDBAL,BAL2011,12/11/11,1:00,BAL,-16,IND,34,U,41.5,2011,Week 14,71187,BAL,-16,16,IND,24,10,N,71008,0,13,20111211INDBAL,45,0,
20091101OAKLAC,LAC2009,11/1/09,4:05,LAC,-16,OAK,40,U,41.5,2009,Week 8,67016,LAC,-16,16,OAK,24,16,N,70561,0,42,20091101OAKLAC,79,0,
20081005CINDAL,DAL2008,10/5/08,4:15,DAL,-16,CIN,53,O,46.5,2008,Week 5,62655,DAL,-16,16,CIN,31,22,N,65529,0,37,20081005CINDAL,78,0,
20171231NYJNE,NEP2017,12/31/17,1:00,NE,-16,NYJ,32,U,43,2017,Week 17,65878,NE,-16,16,NYJ,26,6,Y,65878,0,15,20171231NYJNE,43,0,Week 17NE2017
20181111ARIKC,KCC2018,11/11/18,1:00,KC,-16,ARI,40,U,49.5,2018,Week 10,76712,KC,-16,16,ARI,26,14,N,76416,0,46,20181111ARIKC,32,0,Week 10KC2018
20171217NYJNO,NOS2017,12/17/17,1:00,NO,-16,NYJ,50,O,47,2017,Week 15,73018,NO,-16,16,NYJ,31,19,N,73208,0,42,20171217NYJNO,64,0,Week 15NO2017
20161215LARSEA,SEA2016,12/15/16,8:25,SEA,-15.5,LAR,27,U,40.5,2016,Week 15,69067,SEA,-15.5,15.5,LAR,24,3,Y,68740,0,14,20161215LARSEA,35,0,
20091011OAKNYG,NYG2009,10/11/09,1:00,NYG,-15.5,OAK,51,O,38,2009,Week 5,79012,NYG,-15.5,15.5,OAK,44,7,Y,80242,0,33,20091011OAKNYG,61,0,
20071126MIAPIT,PIT2007,11/26/07,8:30,PIT,-15.5,MIA,3,U,37.5,2007,Week 12,57704,PIT,-15.5,15.5,MIA,3,0,N,65050,0,6,20071126MIAPIT,46,0,
20121028JAXGB,GBP2012,10/28/12,1:00,GB,-15.5,JAX,39,U,45.5,2012,Week 8,70464,GB,-15.5,15.5,JAX,24,15,N,73094,0,55,20121028JAXGB,45,0,
20091011TBPHI,PHI2009,10/11/09,1:00,PHI,-15.5,TB,47,O,42,2009,Week 5,69144,PHI,-15.5,15.5,TB,33,14,Y,69796,0,6,20091011TBPHI,62,0,
20121118JAXHOU,HOU2012,11/18/12,1:00,HOU,-15.5,JAX,80,O,40.5,2012,Week 11,71676,HOU,-15.5,15.5,JAX,43,37,N,71054,0,10,20121118JAXHOU,70,0,
20061015OAKDEN,DEN2006,10/15/06,8:15,DEN,-15.5,OAK,16,U,37.5,2006,Week 6,76691,DEN,-15.5,15.5,OAK,13,3,N,76125,0,5,20061015OAKDEN,55,0,
20141228OAKDEN,DEN2014,12/28/14,4:25,DEN,-15.5,OAK,61,O,48.5,2014,Week 17,76929,DEN,-15.5,15.5,OAK,47,14,Y,76125,0,13,20141228OAKDEN,33,0,
20071028WASNE,NEP2007,10/28/07,4:15,NE,-15,WAS,59,O,47,2007,Week 8,68756,NE,-15,15,WAS,52,7,Y,68756,0,5,20071028WASNE,57,0,
20091206OAKPIT,PIT2009,12/6/09,1:00,PIT,-15,OAK,51,O,37,2009,Week 13,61820,PIT,-15,15,OAK,24,27,N,65050,0,8,20091206OAKPIT,26,0,
20081207LARARI,ARI2008,12/7/08,4:15,ARI,-15,LAR,44,U,48.5,2008,Week 14,63720,ARI,-15,15,LAR,34,10,Y,63400,0,2,20081207LARARI,72,DOME,
20181230ARISEA,SEA2018,12/30/18,4:25,SEA,-15,ARI,51,O,40,2018,Week 17,68990,SEA,-15,15,ARI,27,24,N,68740,0,16,20181230ARISEA,54,0,Week 17SEA2018
20131223ATLSF,SFN2013,12/23/13,8:40,SF,-14.5,ATL,58,O,46.5,2013,Week 16,69732,SF,-14.5,14.5,ATL,34,24,N,69732,0,42,20131223ATLSF,60,0,
20151220CLESEA,SEA2015,12/20/15,4:05,SEA,-14.5,CLE,43,U,45.5,2015,Week 15,69002,SEA,-14.5,14.5,CLE,30,13,Y,68740,0,13,20151220CLESEA,44,0,
20101219GBNE,NEP2010,12/19/10,8:20,NE,-14.5,GB,58,O,43.5,2010,Week 15,68756,NE,-14.5,14.5,GB,31,27,N,68756,0,8,20101219GBNE,32,0,
20151220TENNE,NEP2015,12/20/15,1:00,NE,-14.5,TEN,49,O,48,2015,Week 15,66829,NE,-14.5,14.5,TEN,33,16,Y,65878,0,13,20151220TENNE,39,0,
20100926BUFNE,NEP2010,9/26/10,1:00,NE,-14.5,BUF,68,O,43,2010,Week 3,68756,NE,-14.5,14.5,BUF,38,30,N,68756,0,8,20100926BUFNE,68,0,
20101003DETGB,GBP2010,10/3/10,1:00,GB,-14.5,DET,54,O,46,2010,Week 4,70729,GB,-14.5,14.5,DET,28,26,N,72928,0,53,20101003DETGB,52,0,
20081109KCLAC,LAC2008,11/9/08,4:15,LAC,-14.5,KC,39,U,47.5,2008,Week 10,67510,LAC,-14.5,14.5,KC,20,19,N,70561,0,41,20081109KCLAC,64,0,
20131229KCLAC,LAC2013,12/29/13,4:25,LAC,-14.5,KC,51,O,46,2013,Week 17,66374,LAC,-14.5,14.5,KC,27,24,N,70561,0,46,20131229KCLAC,73,0,
