FullDate,Month,Day,Year,Season,Start (ET),Visitor/Neutral,Visitor Pts,Home/Neutral,Home Pts,OTGames,Attendance,Notes,Season,Month,Covered Line,Away ATS,Home ATS,CoveredO/U,O/U,Date,Key,Capacity,New Stadium Season,Years in Stadium
4/10/2019,4,10,2019,2019,10:30p,MIN,95,DEN,99,,"16,332",,2019,April,N,12.5,-12.5,U,218.5,Wed,DEN2019,19520,0,19
4/10/2019,4,10,2019,2019,8:00p,CHI,109,PHI,125,,"20,197",,2019,April,Y,6,-6,O,218.5,Wed,PHI2019,20478,0,22
4/10/2019,4,10,2019,2019,8:00p,MIA,94,BKN,113,,"17,732",,2019,April,Y,5,-5,U,220,Wed,BKN2019,17732,0,6
4/10/2019,4,10,2019,2019,10:30p,UTA,137,LAC,143,OT,"17,655",,2019,April,N,8,-8,O,225,Wed,LAC2019,19060,0,19
4/10/2019,4,10,2019,2019,8:00p,IND,135,ATL,134,,"17,143",,2019,April,N,5.5,-5.5,O,225.5,Wed,ATL2019,16600,0,19
4/10/2019,4,10,2019,2019,10:30p,SAC,131,POR,136,,"19,814",,2019,April,Y,3.5,-3.5,O,226.5,Wed,POR2019,19393,0,23
4/10/2019,4,10,2019,2019,8:00p,OKC,127,MIL,116,,"18,082",,2019,April,N,-4,4,O,227.5,Wed,MIL2019,17341,0,0
4/9/2019,4,9,2019,2019,7:00p,MEM,93,DET,100,,"19,802",,2019,April,N,11.5,-11.5,U,210,Tue,DET2019,20332,0,1
4/9/2019,4,9,2019,2019,9:00p,DEN,108,UTA,118,,"18,306",,2019,April,Y,2,-2,O,212.5,Tue,UTA2019,18306,0,27
4/9/2019,4,9,2019,2019,8:00p,NYK,96,CHI,86,,"21,350",,2019,April,N,1.5,-1.5,U,215.5,Tue,CHI2019,20917,0,24
4/9/2019,4,9,2019,2019,7:30p,PHI,99,MIA,122,,"20,153",,2019,April,Y,6.5,-6.5,O,219,Tue,MIA2019,19600,0,19
4/9/2019,4,9,2019,2019,7:00p,CHA,124,CLE,97,,"19,432",,2019,April,N,-8.5,8.5,O,220.5,Tue,CLE2019,19432,0,24
4/9/2019,4,9,2019,2019,7:00p,BOS,116,WAS,110,,"20,409",,2019,April,N,4.5,-4.5,O,222.5,Tue,WAS2019,20356,0,21
4/9/2019,4,9,2019,2019,9:30p,HOU,111,OKC,112,,"18,203",,2019,April,Y,-3,3,U,229.5,Tue,OKC2019,18203,0,10
4/7/2019,4,7,2019,2019,12:00p,MIA,109,TOR,117,OT,"19,800",,2019,April,Y,5.5,-5.5,O,215.5,Sun,TOR2019,19800,0,23
4/7/2019,4,7,2019,2019,4:00p,CHA,104,DET,91,,"19,871",,2019,April,N,6.5,-6.5,U,216.5,Sun,DET2019,20332,0,1
4/7/2019,4,7,2019,2019,7:30p,ORL,116,BOS,108,,"18,624",,2019,April,N,4,-4,O,217,Sun,BOS2019,18624,0,23
4/7/2019,4,7,2019,2019,3:00p,SAS,112,CLE,90,,"19,432",,2019,April,N,-8.5,8.5,U,219,Sun,CLE2019,19432,0,24
4/7/2019,4,7,2019,2019,9:00p,DEN,108,POR,115,,"19,890",,2019,April,N,8.5,-8.5,O,219.5,Sun,POR2019,19393,0,23
4/7/2019,4,7,2019,2019,5:00p,BKN,108,IND,96,,"16,197",,2019,April,N,2.5,-2.5,U,220,Sun,IND2019,17923,0,19
4/7/2019,4,7,2019,2019,7:30p,WAS,110,NYK,113,,"19,812",,2019,April,Y,-4,4,U,226.5,Sun,NYK2019,19812,0,50
4/7/2019,4,7,2019,2019,7:00p,ATL,107,MIL,115,,"17,775",,2019,April,N,11.5,-11.5,U,235.5,Sun,MIL2019,17341,0,0
4/7/2019,4,7,2019,2019,8:30p,LAC,104,GSW,131,,"19,596",,2019,April,Y,11,-11,U,237.5,Sun,GSW2019,18064,0,0
4/6/2019,4,6,2019,2019,8:00p,PHI,116,CHI,96,,"21,059",,2019,April,N,-9.5,9.5,U,227,Sat,CHI2019,20917,0,24
4/6/2019,4,6,2019,2019,5:00p,BKN,133,MIL,128,,"18,116",,2019,April,N,4,-4,O,235,Sat,MIL2019,17341,0,0
4/5/2019,4,5,2019,2019,8:00p,BOS,117,IND,97,,"17,371",,2019,April,N,-1,1,O,213.5,Fri,IND2019,17923,0,19
4/5/2019,4,5,2019,2019,8:00p,DET,110,OKC,123,,"18,203",,2019,April,Y,6,-6,O,216,Fri,OKC2019,18203,0,10
4/5/2019,4,5,2019,2019,10:30p,POR,110,DEN,119,,"19,928",,2019,April,Y,6,-6,O,216.5,Fri,DEN2019,19520,0,19
4/5/2019,4,5,2019,2019,9:00p,SAC,98,UTA,119,,"18,306",,2019,April,Y,10,-10,U,222,Fri,UTA2019,18306,0,27
4/5/2019,4,5,2019,2019,7:00p,TOR,111,CHA,113,,"18,684",,2019,April,Y,-5.5,5.5,P,224,Fri,CHA2019,19077,0,13
4/5/2019,4,5,2019,2019,7:00p,SAS,129,WAS,112,,"20,409",,2019,April,N,-6.5,6.5,O,225,Fri,WAS2019,20356,0,21
4/5/2019,4,5,2019,2019,10:30p,CLE,114,GSW,120,,"19,596",,2019,April,N,15.5,-15.5,O,225.5,Fri,GSW2019,18064,0,0
4/5/2019,4,5,2019,2019,7:00p,ATL,113,ORL,149,,"18,999",,2019,April,Y,9,-9,O,225.5,Fri,ORL2019,18846,0,8
4/5/2019,4,5,2019,2019,10:30p,LAL,122,LAC,117,,"17,910",,2019,April,N,11.5,-11.5,O,228,Fri,LAC2019,19060,0,19
4/4/2019,4,4,2019,2019,8:00p,MIL,128,PHI,122,,"20,701",,2019,April,N,-5,5,O,230,Thu,PHI2019,20478,0,22
4/3/2019,4,3,2019,2019,7:00p,IND,108,DET,89,,"18,984",,2019,April,N,2.5,-2.5,U,205.5,Wed,DET2019,20332,0,1
4/3/2019,4,3,2019,2019,7:00p,NYK,100,ORL,114,,"18,846",,2019,April,Y,13,-13,O,212.5,Wed,ORL2019,18846,0,8
4/3/2019,4,3,2019,2019,7:30p,BOS,112,MIA,102,,"19,904",,2019,April,N,1,-1,U,214.5,Wed,MIA2019,19600,0,19
4/3/2019,4,3,2019,2019,9:00p,SAS,85,DEN,113,,"17,643",,2019,April,Y,4.5,-4.5,U,215,Wed,DEN2019,19520,0,19
4/3/2019,4,3,2019,2019,10:00p,MEM,89,POR,116,,"19,608",,2019,April,Y,10.5,-10.5,U,216.5,Wed,POR2019,19393,0,23
4/3/2019,4,3,2019,2019,7:00p,CHI,115,WAS,114,,"16,616",,2019,April,N,9.5,-9.5,O,226,Wed,WAS2019,20356,0,21
4/3/2019,4,3,2019,2019,7:30p,TOR,115,BKN,105,,"17,732",,2019,April,N,-2,2,U,229,Wed,BKN2019,17732,0,6
4/3/2019,4,3,2019,2019,10:30p,HOU,135,LAC,103,,"17,593",,2019,April,N,-2.5,2.5,O,229,Wed,LAC2019,19060,0,19
4/3/2019,4,3,2019,2019,7:30p,PHI,122,ATL,130,,"16,638",,2019,April,Y,-4.5,4.5,O,239.5,Wed,ATL2019,16600,0,19
4/2/2019,4,2,2019,2019,10:30p,DEN,102,GSW,116,,"19,596",,2019,April,Y,8.5,-8.5,U,220,Tue,GSW2019,18064,0,0
4/2/2019,4,2,2019,2019,8:00p,LAL,103,OKC,119,,"18,203",,2019,April,Y,12.5,-12.5,U,226,Tue,OKC2019,18203,0,10
4/1/2019,4,1,2019,2019,7:00p,DET,102,IND,111,,"15,760",,2019,April,Y,5.5,-5.5,O,203.5,Mon,IND2019,17923,0,19
4/1/2019,4,1,2019,2019,7:30p,MIA,105,BOS,110,,"18,624",,2019,April,N,7,-7,O,214,Mon,BOS2019,18624,0,23
4/1/2019,4,1,2019,2019,7:30p,CHI,105,NYK,113,,"18,874",,2019,April,Y,3.5,-3.5,O,214.5,Mon,NYK2019,19812,0,50
4/1/2019,4,1,2019,2019,7:30p,ORL,109,TOR,121,,"19,800",,2019,April,Y,6.5,-6.5,O,216,Mon,TOR2019,19800,0,23
4/1/2019,4,1,2019,2019,9:00p,CHA,102,UTA,111,,"18,306",,2019,April,N,10.5,-10.5,U,218.5,Mon,UTA2019,18306,0,27
4/1/2019,4,1,2019,2019,7:30p,MIL,131,BKN,121,,"17,732",,2019,April,N,1.5,-1.5,O,229.5,Mon,BKN2019,17732,0,6
3/31/2019,3,31,2019,2019,3:30p,DAL,106,OKC,103,,"18,203",,2019,March,N,12.5,-12.5,U,218,Sun,OKC2019,18203,0,10
3/31/2019,3,31,2019,2019,10:30p,MEM,96,LAC,113,,"16,740",,2019,March,Y,10,-10,U,223.5,Sun,LAC2019,19060,0,19
3/31/2019,3,31,2019,2019,8:00p,WAS,95,DEN,90,,"17,356",,2019,March,N,10.5,-10.5,U,227,Sun,DEN2019,19520,0,19
3/31/2019,3,31,2019,2019,8:30p,CHA,90,GSW,137,,"19,596",,2019,March,Y,11,-11,U,230,Sun,GSW2019,18064,0,0
3/31/2019,3,31,2019,2019,12:30p,MIL,135,ATL,136,OT,"16,660",,2019,March,Y,-3,3,O,231,Sun,ATL2019,16600,0,19
3/30/2019,3,30,2019,2019,7:00p,ORL,121,IND,116,,"17,923",,2019,March,N,1.5,-1.5,O,206,Sat,IND2019,17923,0,19
3/30/2019,3,30,2019,2019,7:30p,MIA,100,NYK,92,,"19,812",,2019,March,N,-7.5,7.5,U,207.5,Sat,NYK2019,19812,0,50
3/30/2019,3,30,2019,2019,8:00p,TOR,124,CHI,101,,"21,238",,2019,March,N,-10.5,10.5,O,214.5,Sat,CHI2019,20917,0,24
3/30/2019,3,30,2019,2019,7:00p,POR,90,DET,99,,"18,592",,2019,March,Y,5.5,-5.5,U,216,Sat,DET2019,20332,0,1
3/30/2019,3,30,2019,2019,6:00p,BOS,96,BKN,110,,"17,732",,2019,March,Y,4,-4,U,223,Sat,BKN2019,17732,0,6
3/30/2019,3,30,2019,2019,3:30p,CLE,108,LAC,132,,"16,439",,2019,March,Y,9,-9,O,228.5,Sat,LAC2019,19060,0,19
3/29/2019,3,29,2019,2019,7:00p,IND,112,BOS,114,,"18,624",,2019,March,N,7,-7,O,213,Fri,BOS2019,18624,0,23
3/29/2019,3,29,2019,2019,8:00p,DEN,115,OKC,105,,"18,203",,2019,March,N,4,-4,O,216.5,Fri,OKC2019,18203,0,10
3/29/2019,3,29,2019,2019,9:00p,WAS,124,UTA,128,,"18,306",,2019,March,N,13,-13,O,226,Fri,UTA2019,18306,0,27
3/29/2019,3,29,2019,2019,7:30p,POR,118,ATL,98,,"16,182",,2019,March,N,-2.5,2.5,U,233,Fri,ATL2019,16600,0,19
3/28/2019,3,28,2019,2019,7:00p,ORL,98,DET,115,,"18,128",,2019,March,Y,3.5,-3.5,O,205.5,Thu,DET2019,20332,0,1
3/28/2019,3,28,2019,2019,7:30p,DAL,99,MIA,105,,"19,851",,2019,March,P,6,-6,U,212,Thu,MIA2019,19600,0,19
3/28/2019,3,28,2019,2019,7:30p,TOR,117,NYK,92,,"19,812",,2019,March,N,-10,10,U,219.5,Thu,NYK2019,19812,0,50
3/28/2019,3,28,2019,2019,7:00p,BKN,110,PHI,123,,"20,547",,2019,March,Y,7,-7,O,231.5,Thu,PHI2019,20478,0,22
3/28/2019,3,28,2019,2019,8:00p,LAC,118,MIL,128,,"17,922",,2019,March,P,10,-10,O,232,Thu,MIL2019,17341,0,0
3/27/2019,3,27,2019,2019,8:00p,POR,118,CHI,98,,"20,227",,2019,March,N,-9,9,P,216,Wed,CHI2019,20917,0,24
3/27/2019,3,27,2019,2019,8:00p,IND,99,OKC,107,,"18,203",,2019,March,Y,6.5,-6.5,U,217.5,Wed,OKC2019,18203,0,10
3/27/2019,3,27,2019,2019,10:30p,LAL,100,UTA,115,,"18,306",,2019,March,N,15.5,-15.5,U,218.5,Wed,UTA2019,18306,0,27
3/26/2019,3,26,2019,2019,7:30p,ORL,104,MIA,99,,"19,704",,2019,March,N,3.5,-3.5,U,205,Tue,MIA2019,19600,0,19
3/26/2019,3,26,2019,2019,9:00p,DET,92,DEN,95,,"19,520",,2019,March,N,7.5,-7.5,U,212.5,Tue,DEN2019,19520,0,19
3/26/2019,3,26,2019,2019,7:00p,BOS,116,CLE,106,,"19,432",,2019,March,N,-5,5,O,216,Tue,CLE2019,19432,0,24
3/26/2019,3,26,2019,2019,7:30p,CHI,103,TOR,112,,"19,800",,2019,March,N,14.5,-14.5,U,219,Tue,TOR2019,19800,0,23
3/26/2019,3,26,2019,2019,7:00p,SAS,116,CHA,125,OT,"14,227",,2019,March,Y,-4,4,O,220.5,Tue,CHA2019,19077,0,13
3/26/2019,3,26,2019,2019,8:00p,HOU,94,MIL,108,,"17,910",,2019,March,Y,3,-3,U,224,Tue,MIL2019,17341,0,0
3/25/2019,3,25,2019,2019,9:00p,PHX,92,UTA,125,,"18,306",,2019,March,Y,14,-14,O,216,Mon,UTA2019,18306,0,27
3/25/2019,3,25,2019,2019,7:00p,PHI,98,ORL,119,,"16,848",,2019,March,Y,2,-2,U,219,Mon,ORL2019,18846,0,8
3/25/2019,3,25,2019,2019,10:00p,BKN,144,POR,148,2OT,"20,188",,2019,March,N,6,-6,O,223.5,Mon,POR2019,19393,0,23
3/24/2019,3,24,2019,2019,5:00p,DEN,88,IND,124,,"17,923",,2019,March,Y,-1.5,1.5,O,210,Sun,IND2019,17923,0,19
3/24/2019,3,24,2019,2019,8:30p,DET,114,GSW,121,,"19,596",,2019,March,N,10,-10,O,218.5,Sun,GSW2019,18064,0,0
3/24/2019,3,24,2019,2019,7:30p,SAS,115,BOS,96,,"18,624",,2019,March,N,-1.5,1.5,U,221,Sun,BOS2019,18624,0,23
3/24/2019,3,24,2019,2019,4:30p,CLE,105,MIL,127,,"17,930",,2019,March,Y,14,-14,O,223,Sun,MIL2019,17341,0,0
3/24/2019,3,24,2019,2019,6:00p,CHA,115,TOR,114,,"19,800",,2019,March,N,11.5,-11.5,O,223,Sun,TOR2019,19800,0,23
3/24/2019,3,24,2019,2019,12:00p,LAC,124,NYK,113,,"18,263",,2019,March,N,-8.5,8.5,O,224,Sun,NYK2019,19812,0,50
3/23/2019,3,23,2019,2019,8:00p,UTA,114,CHI,83,,"20,506",,2019,March,N,-11,11,U,214,Sat,CHI2019,20917,0,24
3/23/2019,3,23,2019,2019,10:00p,DET,112,POR,117,,"19,815",,2019,March,P,5,-5,O,215,Sat,POR2019,19393,0,23
3/23/2019,3,23,2019,2019,8:30p,DAL,126,GSW,91,,"19,596",,2019,March,N,13.5,-13.5,U,219,Sat,GSW2019,18064,0,0
3/23/2019,3,23,2019,2019,7:00p,MIA,113,WAS,108,,"20,409",,2019,March,N,1,-1,O,220,Sat,WAS2019,20356,0,21
3/23/2019,3,23,2019,2019,6:00p,BOS,117,CHA,124,,"19,438",,2019,March,Y,-4,4,O,222.5,Sat,CHA2019,19077,0,13
3/23/2019,3,23,2019,2019,7:30p,PHI,127,ATL,129,,"16,640",,2019,March,Y,-7.5,7.5,O,236,Sat,ATL2019,16600,0,19
3/22/2019,3,22,2019,2019,7:00p,MEM,119,ORL,123,OT,"18,025",,2019,March,N,10,-10,O,206.5,Fri,ORL2019,18846,0,8
3/22/2019,3,22,2019,2019,7:30p,DEN,111,NYK,93,,"19,290",,2019,March,N,-11,11,U,215,Fri,NYK2019,19812,0,50
3/22/2019,3,22,2019,2019,8:30p,MIA,87,MIL,116,,"18,094",,2019,March,Y,7.5,-7.5,U,217.5,Fri,MIL2019,17341,0,0
3/22/2019,3,22,2019,2019,7:30p,OKC,116,TOR,109,,"20,014",,2019,March,N,2,-2,P,225,Fri,TOR2019,19800,0,23
